stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.83,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.42,0,0,0,0,0,0,0,0,0,0,0,29.23,0,19.58,0,0,0,0,0,0,0
 14-21,0,4.55,0.82,0.87,0,3.68,0,0,0,0,0,0,0,0,39.65,0,0,0,0,12.58,0,0,0,0
 24-34,0,0.71,1.56,3.02,0,1.19,0.79,0,0,0,0.78,0,0,0,121.49,0,0,0,0,106.93,0,2.52,0,0
 36-46,0,0,0,0,0,5.53,0,0,0,9.72,2.93,0,0,0,206.49,0,0,0,0,113.98,0,1.2,0,0
 48-58,0,0,2.46,0,0,0.88,0.64,0,0,0,1.66,2.79,0,0,302.75,0.85,0,0,0,89.99,0,0,0,0
 60-70,0,0,29.27,0,6.33,4.57,0,0,0,0,2.91,0,0,0,453.58,0,0,0,0,81.49,0,0,0.73,0
 72-82,0,2.33,37.91,0,0,31.24,0,0.64,0,0,3.49,0,0.98,0,623.02,0.55,0,0,0,83.38,1.17,0,0,8.31
 84-94,0,3.51,24.14,0,0,5.58,0,0.86,0,0,5.21,0,0,0.66,452.08,0,0,0.89,0,57.13,0,0,0,5.87
 96-106,0,9.41,18.24,0,0,24.66,0,0,0,0,7.19,0,0,0,372.69,0,0,0,0,21.14,4.38,0,1.5,0
108-118,0,0.93,22.07,0,0,19.12,0,0,0,0,1.65,0,0,0,346.36,0,0,0,0.51,26.57,0.69,0,0,0
120,0,0,18.64,0,0,40.62,0,0,6.02,0,6.34,0,0,0,498.88,0,0,0,0,29.75,2.68,0,0,0
