stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.94,83.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.14,0,0,0,0,0,0,0,0,0,0,0
  5-6,45.85,94.89,0,12.33,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,32.91,0,0,10.56,0,0,0,0,0,0,0,0,35.59,0,0,0,0,0,0,0,0,0,0,0,8.2,37.48,0,0,14.78,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,19.68,0,4.69,3.72,0,0,0,0,0,7.28,0,0,0,0,0,3.73,0,0,0,0,0,544.11,73.67,0,0,19.94,0,5.55,0,18.14,0,0,0,0,0,0,0,0
 14-21,0,0,1.23,1.98,140.85,48.12,11.73,0,0.88,0,5.03,0.9,0.86,0.81,0,0,0,0,0,0,21.84,0,0,27.45,2853.46,974.48,3.23,194.9,0.83,3.44,0,0.81,0.81,3.82,3.54,440.26,0,0,52.09,0,0
 24-34,0,0,0,1.36,24.61,12.3,38.7,0,0.83,0,186.42,0,0,4,0,2.41,0,0.79,0.76,0,25.55,0,0,4.1,7097.36,166.75,12.86,13.07,0,15.08,0,0,0,7.23,2.03,1435.11,0,0,407.86,0,0
 36-46,0,0,0,0,19.06,2.15,51.26,0,0,0,779.37,0,0,1.43,2.4,0,1.49,0,0,16.08,22.45,0.65,0,7.96,5363.57,27.44,1.25,4.28,0,22.46,0,0,0.67,2.58,0,1635.54,0,0,308.52,0,0
 48-58,0,0,0,0,15.39,0,99.01,4.37,1.62,0,1631.61,0,0,4.63,17.13,0,0,0,1.45,0,30.24,2.73,0.4,5.48,2712.45,19.69,2.99,0,0,0.52,0,0,0,0,0,1575.95,0,0,250.6,0,0
 60-70,0,0,0,0,5.52,0,49.95,0,0,0.63,1500.66,3.6,0,0.6,7.12,0,0,2.74,0,0,8.82,0,0,6.21,515.42,3.71,0.88,3.35,0,3.58,0,0,0,0,0,380.23,0,0,225.13,0,0
 72-82,0,0,0,0,5.58,1.7,126.03,0,0,0,1539.38,0,0,1.1,18.94,0,1.57,1.73,0,0,19.87,0,0,3.2,328.6,0,0.74,4.42,0,1.87,0,0,0,0,0,100.46,0,0,395.89,0.93,0
 84-94,0,0,0,0,0.75,0.68,86.89,0,0,0.77,959.3,0,0,2.66,24.71,0,0,0.65,0,0,15.26,0,10.95,7.5,192.8,4.96,0,0,0,0.71,0,0,0,0,0,82.98,0.62,0,326.45,0,4.42
 96-106,0,0,0,0,22.52,7.97,56.1,4.37,0.62,0,950.96,2.87,0,0.58,10.54,0,0,2.56,0.97,0,11.69,0,3.37,1.08,171.73,0,0,2.76,0,0,0,0,0.9,0,0,13.74,0,0,385.29,1.5,0
108-118,0,0,0,0,1.92,0,35.93,0,0,1.64,1140.62,0,0,0,12.61,0,0,0,3.01,0,15.09,0,0,9.04,172.2,0,0,0.6,0,2.59,0,0,0.56,0,0,10.7,1.24,3.25,368.91,1.09,0
120,0,0,0,0,4.76,0,99.76,0,0,0,1965.15,5.64,0,0,20.21,0,0,0,0,0,14.52,0,0,1.74,205.73,0,0,4.8,0,1.14,0,0,1.13,0,0,27.86,0,3.48,345.61,0,0
