stage,epidermis,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.24,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.69,0,0,4.28,0,0,0,0,0,0,0
 14-21,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0.87,2.75,0,0,0.99,0,0,1.75,0,0,1.76,0
 24-34,0,1.6,0.71,0,0,0,0,0,0,0,0,3.88,0,0,9.07,0,0,0,0,2.89,0,0,0.95,1.5,0
 36-46,1.38,0.88,0,0,0,0,0,0,0,0,0,4.96,0,0,0,0,0,0,0,0.65,0,0,0,0,0
 48-58,0,0.69,0,0,0,0,0,0,0,0.69,1.04,0,0,0,2.36,0,0,0,0,0,0,0.39,0,0,0
 60-70,1.72,0,2.64,0,0,0.88,0.58,0,0,0,1.2,2.81,0,1.13,5.84,0,0,0,0,2.9,0,0,1.18,0,0
 72-82,0,0,0,7.93,0,0,0,0,0,0,0,2.73,0.94,0,1.49,0,0,0,0,0,0,0,0.81,1.05,0
 84-94,0.87,0.57,0,0,0,0,0,0,0,0,0,9.9,0,0,0.57,1.39,0,0,0,3.4,0,0,0,0,0
 96-106,0.62,0,0,2.7,0,0,0,0,0,0,0,2.55,0,0,16.24,0.9,0,0,3.28,14.35,0,0,0,0,8.52
108-118,0.73,0.81,0,0.48,5.29,0,0,0.51,0.64,0,0,14.91,1.08,0,0,0,2.26,0,0,1.29,0,0,0,4.24,3.01
120,0,0,0,3.24,0,0,2.16,2.5,0,0,0,7.46,0,0,0,0,0,0,0,1.31,0,0,0,1.54,0
