stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,0,176.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.78,0,0,0,0,0
  5-6,6.77,96.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.5,0,0,0,5.66,0,0,16.46,0,0,0,0
 14-21,0,0,0,0,0,0.96,0,0.82,0,0.9,0,0,0,0,0,53.32,0,0,0,0,0.87,0,0,0.87,2.93,0,1.46,9.54,0,8.08,0,0
 24-34,0,0,1.91,0,10.11,0,0.71,1.43,1.33,6.34,0,0,0,4.46,0,32.11,1.9,9.9,0,1.07,132.3,0,13.38,5.33,0,0,5.11,21.01,0.64,3.35,0,1.35
 36-46,0,0,2.35,0,4.97,0,1.76,2.07,0,8.79,0,0,0,0,1.06,6.41,2.53,8.64,0,0,339.42,1.15,25.62,13.07,0,0,27.01,66.23,0,9.19,0,0
 48-58,0,0,0.42,3.5,33.93,0.39,0.77,0.59,0,16.76,5.01,0,0,23.6,0,7.81,1.15,9.77,0,0,227.29,0,11.26,49.31,0,0,16.64,13.04,0,12.29,0,0
 60-70,0,0,0,0,22.19,0,15.69,0,0,55.68,14.62,0.66,0,5.07,4.88,0.95,0.7,21.62,0,0,163.31,0,10.32,22,0,0,8.9,5.98,0,12.93,1.83,0
 72-82,0,0,6.62,0,0.7,0.52,5.47,7.11,0,54.33,5.6,0,0.75,0,3.62,0,3.83,13.36,0,0,164.11,0,8.88,21.05,0,1.12,1.34,7.8,0,3.9,12.52,0
 84-94,0,0,2.53,0,7.74,0,12.92,3.13,1.53,35.25,20.44,0,0,1.02,8.81,7.45,0,5.06,3.97,0,126.38,1.08,7.88,28.75,0,0,2.88,16.96,0,0.72,20.32,2.03
 96-106,0,0,3.74,0.72,3.57,0,6.72,0.93,1.54,54.79,17.24,0,0,0,1.8,6.74,12.61,9.97,2.39,0,104.25,0,8.78,13.94,0,0,9.25,10.29,0,12.16,29.9,0
108-118,0,0,9.89,0,5.85,0.64,22.48,0.56,0,36.32,26.8,2.74,0,0,2.91,5.72,6.99,11.18,4.44,0,72.54,0.5,10.57,33.82,0,0,17.53,9.49,0,0.46,42.74,0
120,2.23,0,3.01,0,46.54,0,11.67,0,0,121.03,73.65,0,0,0,3.29,14.77,4.53,5.62,10.62,0,170.98,0,64.28,16.59,0,0,13.77,9.99,0,4.83,82.07,4.7
