stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,3.06,6.28,5.04,0,4.73,0,0,0,4.02,1.21,0,0,1.02,0,0,0,0,0,1.67,0,0,4.18,132.61,0,0,1.09,6.74,0,2.18,11.53,0,0,5.24,42.38,0,0,0.99,0,0
 24-34,0,0.62,9.4,0.66,0,18.23,0,2.83,0,1.28,0,0,0,0,0,0,0,0,0,20.94,0,0,4.78,274.72,0,6.25,0,0,0,6.64,0,0,0,0.69,73.63,0,0,15.12,0,0.93
 36-46,0.61,0,6.13,0,0,55.73,0,0,0,6.52,0,0,1.45,0.65,0,0,0.77,0,4.85,17.85,0,0,2.39,483.11,0,2.94,0,0,0,16.37,0,0,0,0,106.29,0,0,6.51,0,0
 48-58,0,0,6.95,0,0,186.17,0,0,0.99,19.21,0.67,0,0,1.51,0,1.27,0,0,3.09,15.39,0,0.73,2.28,1023,0,3.54,0,0,0.56,8.36,0,0,0,0,227.48,0,0,5.6,0,7.56
 60-70,0.89,0,42.94,0,0,910.84,0,12.64,9.16,103.38,4.92,0,1.47,3.12,0,0,0,0,0,47.85,0,0,3.32,1860.27,0,5.05,0.85,0,0,15.11,0,0,0,0,313.03,0,0,3.06,0,0
 72-82,0.64,0.75,26.55,1.95,0,1674.86,0,11.64,7.24,323.62,5.3,0.52,1.07,7.9,0,3.22,3.53,2.73,0,102.43,1.69,1.66,7.18,2043.69,0.66,9.21,6.84,0,1.4,35.57,0,0,0,0,359,0,0.73,25.93,0,8.15
 84-94,0,0,50.28,2.37,0,1480.7,6.05,5.87,10.74,332.64,2.69,1.22,0.85,8.61,2.94,9.44,3.96,2.93,0,70.23,0.89,1.25,1.56,1707.18,0.94,4.13,5.95,0,0,69.47,0,0,0.69,0,276.14,2,0.75,22.67,15.72,0
 96-106,0,0,42.92,45.13,0,1430.01,0.87,14.1,1.99,409.86,5.77,0,0,22.97,4.34,1.75,3.23,14.35,0,97.6,0,2.17,3.64,1977.9,1.59,9.95,14.64,0,5.13,142.1,0,0.68,0,0,107.21,0.83,0,26.85,13.23,17.43
108-118,2.63,0,77.89,2,6.29,1637.18,2.8,17.51,5.28,486.77,3.23,0,4.61,17.32,4.61,6.38,3.73,4.24,1.75,142.12,1.41,13.45,7.14,2760.98,9.28,3.63,18.2,0,0,107.15,0,0.98,0,0,132.62,4.92,0.8,24.79,5.88,11.36
120,0,1.28,149.63,1.62,14.33,1959.1,0,13.07,0,843.64,5,0,0,35.39,12.83,4.23,6.76,9.89,0,245.17,1.65,24.06,24.37,5598.33,7.66,14.2,25.53,0,28.53,175.08,0,0,0,0,186.65,0,18.73,41.35,40.32,18.2
