stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,51.86,1400.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,102.86,1787.6,0,10.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.63,0,0,0,16.45,0,13.96,0,0,0,0,0,0,0,0,0,0
  7-9,4.39,47.54,0,43.62,0,0,0,133.56,0,0,0,0,0,31.86,0,0,0,0,0,0,0,0,0,0,0,1155.38,35.96,0,0,243.78,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,30.16,0,30.16,0,0,0,84.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683.71,11.53,0,0,221.57,0,4.05,4.37,0,28.61,0,0,0,0,0,0,0
 14-21,0,0,0.82,1.9,31.17,6.38,0,13.37,0,1.16,0,9.29,0,3.41,1.15,0,0,0,0,1.46,0,12.94,0,0,11.95,267.53,9.48,2.37,2.02,3.13,0,2.55,0,15.7,1,9.81,56.7,0,0,1.1,0,0
 24-34,0,0,0,1.47,9.94,0.76,0,70.57,0,2.01,0.78,13.97,0.67,0,0,1.37,0,0,0,0,0,31.21,0,0,13.38,530.83,3,2.68,0.82,0,0,2.09,0,1.03,0,2.12,126.76,0,0,19.25,0,0.63
 36-46,0,0,0,0,0.55,0,0,129.95,0,0,0,20.02,0,0,0.89,2.21,0,0,0.56,0.85,0,31.98,0,2.17,5.64,320.28,0.97,1.15,1.13,0,0,14.32,0,0,0,0,85.13,0,0,14.77,0,0
 48-58,0.58,0,0,0,1.26,1.12,0,162.39,0.4,0.62,2.22,37.4,0,0,1.25,0.48,0,0,0.88,3.55,0,28.11,0,0,6.93,182.82,0,3.76,1.85,0,0,6.61,0,0,0,0,58.59,0,0,3.49,0.5,0
 60-70,0,0,0,0,0,0,0,89.99,0,1.37,0.59,9.91,1.11,0,0.87,0,0,0,1.13,0,0.59,35.61,0,0,3.6,78.92,0.58,0,2.69,0,0.63,2.98,0,0,1.68,0,13.71,0,0,0,0,0
 72-82,0,0,0,0,0.59,11.79,0,42.23,0,3.21,5.85,25.11,0.64,0,1.97,0,2.21,0,1,0,0,67.12,0.75,1.18,5.28,68.07,0,9.01,3.53,0,0,0,0,0,0,0,8.59,0,0.87,5.31,1.57,3.13
 84-94,0,0,0,0,6.26,10.04,0,52.41,0,4.04,1.81,22.88,0,0,0,2.51,0.56,0.66,3.59,0,0,29.57,0,0.55,1.34,52.83,0,4.09,3.33,0,2.09,8.48,0,0,0,0,5.62,0,0,0.63,0,0.74
 96-106,0,0,0,0,7.99,6.61,0,31.94,0,0,2.1,20.3,4.05,0,0,1.81,0,1.49,0.84,6.85,0,34.49,0,4.05,4.44,49.07,1.38,0.81,1.93,0,1.17,9.24,0,0,0.78,0,6.75,1.02,0,4.61,0,0
108-118,0,0,0,0,4.02,12.75,0.56,40.96,0,2.18,1.64,18.92,0.79,0,0,2.26,0.59,0.42,5.71,0,0,55.59,0.6,1.9,3.76,60.44,0.5,5.78,12.39,0,2.13,1.79,0,0,0.52,0,0,1.01,2.74,4,0.63,1.9
120,0,0,0,0,18.53,16.65,1.71,12.85,0,2.41,0,44.02,0,0,0,13.53,0,11.36,0,0,1.79,60.47,0,13.13,5.03,101.82,0,0,5.58,0,0,10.41,0,0,0,0,2.96,0,0,10.36,8.85,0
