stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,50.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,40.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6,0,0,0,3.29,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16.52,0,0,8.89,4.49,0,0,0,0,0,0,0,0
 14-21,0,1.93,0,1.78,0.83,3.39,0,1.08,0,0.99,0,0,4.17,0,0,0,0,1.44,28.94,1.87,0,0,12.85,1.14,0,1.62,13.04,0,0,0,0.84
 24-34,0,0.75,0,0.82,0,16.78,0,0,0,2.87,0,0,2.96,0.97,6.04,0,0,0,115.02,0.67,0.62,0,5.97,0,0,0,29.47,0,0,0,0
 36-46,0,0,0,0,0,53.51,0,6.61,0,0,0,0,0,0,6.77,0,0,1.36,226.97,0.83,1.89,0,5.09,0,0,0,39.7,0,0,0,0
 48-58,0,0,0,0,0,66.44,0,10.44,0,0,0,0,0,0.5,6.62,0.56,0.79,1.15,178.8,2.38,0,0,3.32,0,0,0,30.69,0,1.31,0,0
 60-70,0,0.89,0,0.69,0,151.77,0,15.84,0,0,0,0,0,0,0.64,0,0,0,215.52,1.03,0,0,8.44,0,0,0,38.97,1.44,0.68,0.98,1.05
 72-82,0,0.5,0.75,6.89,0,224.96,0,31.62,0,0,0.55,1.18,0,0.83,9.52,0,0,3.03,175.23,1.5,2.85,0,0,0.97,0,0,31.1,4.48,0.76,0,0
 84-94,0,0,0,0,0,237.2,0,18.7,0.68,0.66,0.8,0.81,1.84,0,5.9,0,0,0.71,144.18,4.36,0,0,5.59,0,0,0,4.11,1.53,0,0.68,0
 96-106,0,1.98,0,0,0,283.4,1.57,7.97,2.32,0,0,0,1.33,0,6.79,0,0,0,112.04,1.47,3.78,0,4.06,0,1.11,0,4.44,2.19,1.56,1.53,0
108-118,0,0,0,0,0.79,278.64,0,10.5,0.61,0,0,0,0,0,2.06,0,9.03,0,102.25,0.96,0.52,0,4.69,0,0.46,0,6.84,1.73,1.33,0,0
120,0,0,0,0,1.11,328.36,0,35.11,0,0,0,0,3.53,4.65,3.42,0,0,0,190.87,1.77,0,0,2.06,0,0,0,2.78,1.37,0,0,0
