stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,heart,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.54,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.67,0,0,5.98,0,0,0,0,0,0,0
 10-12,11.08,6.56,0,0,9.81,0,0,0,0,0,0,0,0,188.44,5.38,0,0,0,0,0,69.65,0,0,0,0
 14-21,0,0,2.06,140.83,38.83,0,44.33,1.88,0,0,9.68,0,7.58,420.71,1.39,1.44,1.05,0.97,0,0.98,5.99,1.23,134.8,0,19.12
 24-34,0,0,0,11.8,2.48,0.61,15.92,0.75,0,0,6.27,0,4,329.54,0,0,0,0,0.71,2.17,0.72,0,98.91,0,25.12
 36-46,0,0,0,0.81,2.78,0,39.81,1.39,0,0,1.7,0,3.18,208.65,0,0,0,0,0,0,9.18,0,76.3,0,6.44
 48-58,0,0,0,0.99,9.89,0,28.61,1.97,0,0,0,0.52,0,37.41,0,1.01,0,0,0,0,0.37,0,15.6,0,5.43
 60-70,0,0,0,0,3.22,0,14.79,1.12,0,0,0.63,0,0,28.56,0,0,0,0,0,0,0,0,8.18,0,1.5
 72-82,0,0,0,0,3.2,0,0.7,0,0,0,1.33,0,0,8.88,0,1.49,0,0,0,0,1.44,0,0,2.16,12.47
 84-94,0,0,0,0,0,0,8.39,0.97,0.86,0.64,0,0,0,5.17,0,0,0,0,4.03,0,2.4,0,1.8,0,17.21
 96-106,0,0,0,0,0.7,0,7.64,0,0,0,0,0,0,1.36,0,0.75,0,0,0,0,3.79,0,0,1.61,7.25
108-118,0,0,1.08,0,0,0,6.67,0,2.24,0,0,0,0,10.63,0,0.46,0,0,0,0,5.97,0,0,0.52,27.71
120,0,0,0,0,4.28,0,27.44,0,3.26,0,6.54,0,0,4.76,0,0,3.98,0,3.62,0,2.12,0,0,1.99,1.62
