stage,blastomeres,endoderm,epidermis,eye,glial,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,xanthophores
  5-6,14.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53,0,0,0,0,0
 14-21,0,0.81,1.43,6.62,0,0,0,0,5.42,2.41,0,35.14,0.9,0,1.67,4.93,42.69,0,4.72
 24-34,0,0,0,2.61,1.76,0,1.24,0,35.36,1.95,0,69.9,0,0,0,2.42,9.82,5.34,9.72
 36-46,0,0,0,0,0,0,1.02,0.67,4.74,0.63,0.94,31.24,0,0,0,0,0,0,0.76
 48-58,0,0,0,0.65,0,0.88,12.28,0,0.38,5.53,0,12.85,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,10.35,0,0,0,0,0,5.65,0,0,0,0.68,5.51,0,0
 72-82,0,0,0,0,0,2.99,1.62,0,0,0.76,0,4.64,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,14.49,0.81,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,2.81,0.93,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,1.81,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
