stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,32.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,43.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.39,0,0,8.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.97,26.11,0,0,47.06,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,55.3,0,0,0,11.36,0,0,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,257.59,97.79,0,0,362.41,0,0,0,4.43,31.1,0,28.61,0,0,0,0,0
 14-21,0,0.9,55.33,3.13,60.5,26.45,0,19.81,0,0.92,0,8.21,0.98,0,0,2.27,7.31,0,0,0,0,22.73,0,0,534.38,411.75,78.71,0,2.71,26.57,0,2.25,0,858.21,4.53,52.18,4373.97,164.22,0,0,0,0
 24-34,0,0,91.68,0,10.88,12.05,0,25.07,0,0,1.44,1.62,0,0,0,0,1.23,0,0,1.57,0,70.38,0,0,148.92,269.07,4.74,0,0.62,0,0,1.34,0,4.3,0,0,240.83,92.9,0,0,0,0.69
 36-46,0,0,31.21,0,3.69,1.03,0,14.2,1.38,0,1.19,8.95,0,0,0,0,1.21,0,0,1.49,0,60.11,0,9.84,19.82,152.52,1.56,0,0.8,0,0,0.82,0,0,0,0,0,81.89,0,0,0,0
 48-58,0,0,33.01,0,1.31,0.49,0,74.23,0,0,1.07,8.49,0,0,0,0,4.14,0,0,3.97,0,58.19,1.41,38.7,11.45,107.53,0,0,0,0,1.54,0,0,0,0,0,0,61.73,6.61,0,0,0
 60-70,0,0,21.47,0,1.02,0.69,0,291.52,0,0,0,0,0.62,0,0.93,0,0,0,0,1.66,0,111.37,0,115.69,13.3,176.56,0,0,0,0,1.66,3,0,0,0,0.83,0,19.25,57.93,2.55,44.92,0
 72-82,0,0,66.05,0,4.54,12.86,0,410.38,0,13.76,0,32.41,3.3,0,0,2.05,0,0,0,9.75,0,94.42,0,57.78,5.68,166.76,0,0,2.1,0,0,4.73,0,0,0,0.49,0,10.8,136.27,0.77,143.83,1.14
 84-94,0,0,132.04,0,11.89,2.6,0,646.04,1.34,0.95,0,18.25,17.94,0,0,2.71,2.38,0,0,0,0,61.71,0,114.48,10.47,177.21,0,0,0,0,0,0.71,0,0,0,0,0,26.91,200.23,0,160.83,0
 96-106,0,0,77.92,0,6.74,3.73,0.56,979.5,0,1.62,0,18.86,5.09,0,0,0.77,1.6,3.32,1.64,0.77,0,75.36,0,130.54,3.05,114.28,0,0,0.58,0,12.88,1.01,6.79,0,0,0,0,13.2,86.2,0,190.02,0.8
108-118,0,0,52.75,0,13.15,7.85,0,1308,0,0,0,13.28,4.77,0,0,4.53,2.58,0.49,0,4.45,6.05,125.31,1.1,55.06,3.88,216.44,0,1.05,0,0,8.23,12.43,0,0,0,0,0,6.26,40.66,0,168.17,0
120,0,0,96.24,0,35.14,19.77,0,569.5,0,12.24,20.03,39.24,1.51,0,0,11.55,1.17,0,0,3.09,0,57.78,0,141.44,4.03,326,2.66,0,4.64,0,0,0,0,0,0,0,0,7.24,105.77,0,290.29,0
