stage,blastomeres,epidermis,eye,fin_epithelia,glial,heart,lateral_line,mesenchyme,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,pronephros,spinal_cord
  3-4,10.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.87,1.9,0,0,0,0.82,0,1.92
 24-34,0,0,1.17,0,0,0,0,0,0,6.12,0,0,0,0,0,0
 36-46,0,0,4.27,0,0.74,0,0,0,0,4.64,0,0,1.17,0,0,0
 48-58,0,0,0.52,0,0,0,0.4,0,0,0.45,0,0,10.16,0,0.4,0
 60-70,0,0,8.17,0,0,0,0,0,0,6.92,0,0.63,18.89,0,0,0
 72-82,0,0,2.78,0,0,0.6,0,2.72,0,3.13,0,0,21.32,0,0,0
 84-94,0,0,1.58,1.2,1.49,0,0,16.57,0.57,0,0,0,63.82,0,0,0
 96-106,0,0.58,0.65,0.66,0,0,0,8.66,0,4.35,0,0,103.77,0,0,0
108-118,0,0.44,0.54,1.9,0,0,0,30.02,0,1.15,0,0,68.93,0,0.61,0
120,0,0,0,0,0,0,0,15.89,0,0,1.48,0,154.14,0,0,0
