stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,137.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.31,146.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.11,0,0,0,9.57,0,0,0,0,0,0,0,0,0,51.79,0,0,0,42.17,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.72,0,19.53,0,0,9.94,0,0,0,0,0,0,0,0,0,0,0,0,0,90.15,22.24,0,0,61.71,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.82,0,4.17,0.98,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0.88,10.74,1.08,0,0,0,0,0,1.01,4.83,7.77,0,0,0,0,0
 24-34,0,0,0,0,4.93,0,1.82,0,0,0,0,0.65,0,0,0.75,0,0,0,0,1.54,16.13,0,0,0,0,0,0,0,0.59,4.57,0,0,1.08,0,0
 36-46,0,0,0,0,0,0,2.98,0,10.48,0,0,0,0,0,0.72,0.57,0,4.55,0,0,23.81,1.04,0,0,0,0,1.99,0,0,8.13,0,0,0,0,3.6
 48-58,0,0,0,0,0.38,0,5.67,0,12.23,0,0,0,6.13,0,1.27,0,0.99,2.69,0,0.51,13.05,0,0,0,0,0,0,0,0,3.26,0,0,0,0,0
 60-70,0,0,0,0,6.69,0,10.71,2.24,1.42,0,0,0.63,0,0,0,0,0,5.93,0,0,26.3,0,0,0,0,0,0,0,0,2.86,0,0,0,0,0
 72-82,0,0,0,0,0.98,5.64,4.27,0,5.98,0.65,0,0,0,0,1.05,0,0,3.61,0.61,0,18.15,0,0,0,0,0,0,0,0,1.62,1.25,0,1.76,0,0
 84-94,0,0,0,0,6.6,0,7.37,0,6.24,0,0,7.85,0,0,0,0,0,16.29,0,0,30.36,0.59,0,5.47,0,0,0,0,0,6.53,1.6,1.96,0,0,0
 96-106,0,0,0,0,2.26,0,5.46,0,8.96,0.9,0,0,0,0,0,0,0,2.68,0,0,32.4,0,0,0,0,0,0,0,0,0,1.1,0,0.61,0.64,0
108-118,0,0,0,0,2.45,0,4.73,0,6.52,0,0,0.9,0,1.17,0,0,0,9.93,0,0,30.57,0,0.7,0,0,0,0,0,0,0,0.63,0,0,0,0
120,0,0,0,0,0,0,9.79,0,14.81,1.12,0,3.81,0,0,0,0,0,0,0,0,57.34,0,0,7.37,0,8.63,0,0,0,8.38,0,0,0,0,0
