stage,epidermis,eye,fin_epithelia,glial,gut,lateral_line,mesenchyme,neural,olfactory,otic,periderm,spinal_cord
 14-21,2.17,0,0,0,0,0,0,3.1,0,0,0,0
 24-34,0,0,0,2.13,0,2.44,0,0.69,0,0,0,0.65
 36-46,0,0,0,0.67,0,0.65,0,5.59,0,0,0,2.75
 48-58,0,1.47,0,0.59,0,0,0,1.76,0,0.4,0,0
 60-70,0,0,0,0,0,0.61,0,0.65,0,0,0,0
 72-82,0,0,0,0,0,11.85,0.61,0,0.77,0,0,0
 84-94,1.09,1.52,0,0,2.31,5.03,0,0,0,0,0,0
 96-106,0,0.57,0,0,1.05,38.93,1.84,1.68,0,0,0,0
108-118,0,0.45,0,0.52,0,9.03,11.62,9.07,0,1.04,0,0
120,0,1.18,1.12,0,6.91,14.75,3.08,1.36,0,0,1.39,0
