stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,116.35,2010.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.54,0,0,0,0,0,0,0,0,0
  5-6,42.55,1456.92,0,10.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.75,7.94,0,0,9.15,0,29.52,0,0,0,0,0,0,0,0,0
  7-9,24.22,36.9,0,38.01,0,0,107.71,0,0,0,0,0,19.22,0,0,0,0,0,0,0,0,0,0,0,849.21,54.43,0,0,311.1,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,39.68,0,132.88,0,14.53,189.25,0,0,0,0,0,28.79,0,0,0,0,0,0,0,0,0,0,0,2060.68,64.61,0,0,565.32,0,0,6.12,116.41,0,0,0,0,0,0,0
 14-21,0,0,1.09,5.07,91.11,28.19,34.94,0,0,0,14.31,2.24,1.92,1.07,2.27,7.14,0,0,1.46,1.91,23.69,0,0,31.18,491.71,13.01,3.08,4.37,13.82,0,9.63,70.46,1.8,6.82,69.73,143.71,0,0,5.07,4.86
 24-34,0,0,0.71,0,3.24,0.92,18.33,0,0.63,0,6.38,0,3.85,1.04,13.05,2.88,0,0.78,10.67,1.57,10.77,0,0,6.39,114.24,0.79,2.35,0,0,0,19.43,0,2.94,2.34,3.84,41.14,0,0,9.4,0.6
 36-46,0,0,0,0,4.59,0,25.8,0,2.95,0,3.44,0.57,0,0,0.67,4.73,0,0,0,0,10.39,0,0,0,99.08,0,0,0,0,0,42.12,0,0.65,0,0,18.24,0,0,0.62,2.01
 48-58,0,0,0,0,6.39,0,16.9,0,0,0,4.39,0,0,0,0.76,4.93,0,0,0,0.38,7.74,0,0,1.28,64.99,0,0,0,0,0,17.48,0,0,0,0,11.93,0,0,8.13,1.82
 60-70,0,0,0,0,2.05,0,25.82,1.08,0,9.59,11.04,0,0,0,0,0,0,0,0,0,3.16,0,0,0.98,31.19,7.37,0,0,0,0,12.83,0,0.59,1.34,0,6.41,0,0,0.99,0
 72-82,0,0,0.5,0,5.79,4.85,66.44,0,2.01,0.56,4.02,2.84,0,0,7.74,0.53,0,0,1.08,0,21.75,0,0,2,73.98,0.53,0,0.61,0,0,4.51,0,1.11,0,0,6.48,0.91,0,9.36,1.89
 84-94,0,0,0,0,11.03,1.8,41.63,0,0.68,2.6,5.24,0.98,0,0.8,11.58,3.34,5.57,0,0.82,0.96,15.37,0.93,0,3.23,28.15,1.31,2.75,0.79,0,0,30.32,0,0.8,0,0,1.5,1.01,1.27,1.17,9.91
 96-106,0,0,1.17,0,11.84,0,32.79,0,2.02,0,11.78,1.02,0,3.74,6.94,0,3.25,0,1.71,0,10.22,0,0.96,0.62,12.71,0.8,1.32,1.07,0,0,15.55,0,0.59,0.68,0,0,2.03,1.26,17.22,6.11
108-118,0,0,0.71,0,14.28,7.12,70.62,0,1.05,0.51,8.39,4.86,0,0,13.62,4.32,2.81,2.92,6.48,0,12.13,0,0,2.17,56.82,2.57,0.54,1.33,0,1.37,27.08,0,1.34,1.12,0,1.88,0.77,0,4.72,2.95
120,0,0,0,0,4.92,3.12,13.12,0,5.79,0,20.7,2.4,0,0,9.83,3.05,8.53,0,10.16,0,16.89,0,0,2.31,47.67,0,0,5.02,0,0,22.97,0,3.63,0,0,0,2.31,0,0,0
