stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,54.88,297.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0,0,0,0,0,0,0,0
  5-6,27.79,621.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.2,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,6.03,0,0,11.31,0,0,0,0,0,0,0,0,0,0,0,0,128.74,0,0,0,41.39,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.62,0,0,0,10.65,0,0,0,0,0,0,0,0,0,0,0,0,37.8,0,0,0,9.68,0,0,0,5.68,0,4.47,0,0,0,0
 14-21,0,0,1.18,8.91,3.85,0.9,0,0,5.51,0,0,0,0.96,0,0,2.69,0,3.61,137.36,3.42,7.46,0,5,0,2.21,16.6,0,9.63,43.07,0,0,0.87,0
 24-34,0,0,0,1.68,0,6.67,0,0,3.73,0,0,0,0,0,0,4.18,0,4.41,227.68,1.27,2.58,0,0,0,0,0,0,0.94,41.74,0,0,14.01,0
 36-46,0,0,0,2.76,0,13.97,0,0,2.18,0,0,0,0,0,0,6.66,0.86,5.93,295.62,0,1.94,0,0,0,0,0,0,0,51.65,0,0,0,0
 48-58,0,0,0,5.53,0,102.12,0.39,0,4.18,2.79,1.84,0,0,0,0,26.28,0,7.71,396.82,0,1.2,0,0,0,0,0,0,0,37.43,0,0,1.99,0
 60-70,0,0,0,0.9,0,146.1,0,0,3.26,0,0,3.06,0,0.63,0,21.11,0,0,189.29,0,0.74,0,0,1.65,0,0,0,0,11.6,0,0,0,0
 72-82,0,0,0,1.31,0.84,395.45,0,0.5,14.22,0,0,0,0,0,0,37.33,1.74,5.18,334.24,0,1.18,0,0,0,0.77,0,0,0,30.83,0,0.83,0,0
 84-94,0,0,0,3.15,0,139.12,0,0,29.05,0,0,0,0,1.13,0,23.39,0.83,0.57,163.12,0,2.68,0.96,0,0,4.24,0,0,0,15.52,1.17,0,0.91,0
 96-106,0,0,0,3.83,1.38,215.66,1.4,0,7.32,0,0.92,0.81,0,0,0,17.55,0,3.54,116.12,0,0,0.74,0,0,0.71,0,1.38,0,10.88,0,0,0,0
108-118,0,0,0,0.98,0.5,154.82,0,0,7.45,0,1.49,0.59,0,2.46,0,17.4,4.52,3.12,256.2,0.89,1.19,2.83,0,0,0,0,0,0,3.33,0,0,1.91,1.19
120,0,0,0,9.72,0,155.24,0,10.19,20.94,0,0,0,0,0,3.09,43.3,0,1.04,284.87,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0
