stage,axial,blastomeres,epidermis,eye,glial,gut,ionocyte,neural,otic,paraxial_mesoderm,periderm,spinal_cord
  5-6,0,7.4,0,0,0,0,0,0,0,0,0,0
  7-9,8.45,0,0,0,0,0,0,12.08,0,14.06,0,0
 10-12,0,0,0,0,0,0,0,22.39,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.39,0.92
 24-34,0,0,0,0,0,0,0,2.23,0,0,1.27,0
 36-46,0,0,0.86,0,1.66,0,0,1.99,0,0,0,0
 48-58,0,0,0,0.69,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,2.21,0
 72-82,0,0,0,7.01,0,0,0,2.28,0,0,1.07,0
 84-94,0,0,0,4.65,0,0,0,0.94,0,0,2.81,0
 96-106,0,0,0,5.97,0,0,0,0,0,0,1.62,0
108-118,0,0,0,2.01,0,0,0.41,0.84,0,0,8.08,0
120,0,0,0,0,0,2.51,0,0,1.43,0,4,0
