stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,immune,ionocyte,melanocytes,mesenchyme,muscle,neural,olfactory,pericytes,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,7.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,3.65,0,0,0,1.67,4.24,0,0,0
 24-34,0,0,0,0,0,0,0.7,0,0,0,1.1,0,30.57,0,0,0,0.66,3.08,0,0,0
 36-46,0,0,12.1,0,18.48,0,1.65,0,0,0,5.66,0.83,82.62,0,0,10.36,0,23.79,0,0,0
 48-58,0,0,0.97,0,17.47,0,2.13,0,0,0,3.97,0,60,0,0,3.02,0,16.97,0,0,0
 60-70,0,0,0,0,26.68,0,1.59,0,0,6.38,9.93,0,58.58,0,0.71,0,0,13.02,0,0,0
 72-82,0,0,0,0,25.4,0,0,0,0,0,7.31,0.68,31.13,2.01,0,0.57,0,0,0,0,4.1
 84-94,0,0,3.33,0,7.7,0,0.68,0,0,0,2.33,0,25.11,0,0,0,0,0,0.61,1.53,0
 96-106,0,1.04,3.99,1.95,12.27,0,0,1.19,0,0,0,0,10.96,0,0,0,0,0,0.74,0,0
108-118,0,3.31,0.58,0,4.24,0.47,0.54,0.58,1.38,0,0,0.96,1.63,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,3.44,0,26.24,0,0,0,0,0,0,0,0
