stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,17.23,218.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.39,0,0,0,0,0,0,0,0,0,0
  5-6,21.77,806.93,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.3,0,0,0,6.69,0,37.7,0,0,0,0,0,0,0,0,0,0
  7-9,37.97,132.75,166.6,0,0,0,305.74,0,0,0,0,0,55.22,0,0,0,0,0,0,0,0,0,0,0,2352.21,53.71,0,0,727.58,0,17.32,5.28,0,0,0,0,0,0,0,0,0
 10-12,0,57.23,104.36,0,25.23,0,205.42,0,0,0,0,0,27.56,0,0,0,0,0,0,0,0,0,0,0,1326.33,37.18,0,0,229.93,0,4.05,0,0,27.46,0,0,0,0,0,0,0
 14-21,0,1.36,1.82,15.49,173.65,0,23.78,0,0,0,10.33,3.9,0,11.08,1.02,2.29,0,0,0,0,28.63,0,0,12.24,239.41,1.8,0,3.36,10.96,0,1.79,0,12.36,0,3.47,16.05,95.19,0,0,61.51,0
 24-34,0,0,0.68,14.94,6.12,0,16.4,0,9.27,1.42,14.06,0.82,0,38.54,0,0,0,0,0,0,79.77,0,0,17.62,175.36,0.64,1.36,3.16,0,0,0,0,0,0.63,1.5,2.41,46.61,0,0,306.32,0
 36-46,0,0,0,0,0,0,5.35,0,7.29,7.7,45.18,0,0,27.08,0,0,0,2.18,0,6.13,141.42,0,0,7.12,114.7,0,1.13,1.08,0,0,1.66,0,0,0,0,0,46.92,0,0,151,0
 48-58,0,1.29,0,1.7,2.2,0,11.38,0,12.95,16.19,47.45,0,0,19.03,0,0,0,0,0,0,225.14,0,0.48,11.97,74.32,0,0,3.78,0,0,0,0,0,0.39,0,0,46,0,0.84,74.24,0
 60-70,0,0,0,5.66,0,0,10.35,0,0,13.95,20.75,0,0,5.44,0,0,0,0,0,0,412.66,0,0,8.64,61.37,0,0.99,1.77,0,1.46,0,0,0,1.47,0,0,0,0,24.05,34.23,0
 72-82,0,0,0,2.45,0,0,41.45,0,0.92,38.26,26.38,0,0,8.68,0,2.29,0,0,0,0,1087.89,0.77,2.36,27.34,63.56,0,0,2.55,0,3.09,0,0,0,0.71,0,0,5.17,0,39.35,95.81,15.29
 84-94,0,0,0,4.24,0,1.04,45.15,2.27,0,8.92,15.96,0,0,7.69,0,1.23,0,0,3.72,0,772.99,0,7.08,23.89,9.7,0,1.31,0,0,2.68,4.45,0,0,6.58,0,0,5.56,0,73.8,96.05,10.12
 96-106,0,0,0,4.4,0,0,35.64,1.45,0,31.23,11.05,0,0,25.81,1.64,0.95,0.92,0,0,0.63,1151.91,2.84,4.15,17.94,97.84,0,0,17.54,0,1.82,4.97,0,0,1.56,0,0,3.09,7.02,56.51,111.83,20.67
108-118,0,0,0,8.17,0.96,0,38.92,0,2.14,17.67,4.41,0,0,6.18,1.57,1.84,0,0,0,0,1417.06,0,13.09,15.35,109.3,0,0,11.27,0,7.71,0.46,0,0,3.16,0,0,0,0,74.76,74.27,20.77
120,0,0,0,12.04,0,0,22.58,0,0,5.94,16.21,0,0,4.91,5.11,0,0,0,0,0,1837.84,0,15.11,6.56,66.96,0,0,2.92,0,0,1.67,0,0,0,0,0,0,0,14.68,158.34,3.77
