stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,glial,gut,ionocyte,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,pericytes,periderm,spinal_cord,vasculature
  3-4,12.81,54.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.82,14.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,16.8,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,13.47,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,2.52,0,0.92,7.63,0.82,0,1.67,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.79,40.28,0,0,0,0,0
 36-46,0,0,0,0.57,0,2.13,0,0,26.26,0,5.43,53.83,0,0,0,2.86,0
 48-58,0,0,0.42,0,0,0,0,0,27.17,0,4.02,53.44,0,0,0,3.07,0.77
 60-70,0,0,0,0,1.58,0,0,0,30.93,0,0,52.98,0,0.63,0,0,0
 72-82,0,0,0,0,2.87,0.64,0,0,33.24,0,0,83.4,0,0,0,4.84,0
 84-94,0,0,0,0.61,8.42,0.76,1.41,0,22.71,0,1.44,46.84,0,0,3.68,0,0
 96-106,0,0,0,0,1.64,0,0,0,33.94,0.85,0.56,61.92,0,0,0,5.08,0
108-118,0,0,0,0,1.11,4.13,0,0.46,44.96,0,1.13,45.49,0,0,0,1.92,0
120,0,0,0,0,0,9.9,0,0,30.3,0,0,160.12,0,0,0,19.63,0
