stage,blastomeres,epidermis,eye,glial,lateral_line,mesenchyme,muscle,neural,notochord,otic,periderm,pgc,spinal_cord,vasculature
  5-6,12.73,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,6.83,4.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,4.43,0,0,0,3.78,0,0
 24-34,0,0,0,0,0,0,0,4.77,0,1.1,0,0,0,2.77
 36-46,0,0,0.93,0,0,0,0,8.62,0,0,0,0,0,0
 48-58,0,0,4.66,0,0,0,0.59,4.61,0,0,0,0,0,0
 60-70,0,0,0.72,0,0,0,0,9.61,0,0,0,0,0.87,0
 72-82,0,0,3.32,0,0,0,0,13.46,0,0,0,0,0,1.16
 84-94,0,4.57,7.77,0,0.58,2.3,0,5.63,0,0,0,0,6.54,0
 96-106,0,0,1.2,0.8,0,0,0,1.93,0,0,1.5,0,0,0
108-118,0,0,2.11,0,0,0.46,0,7.88,0,0,1.85,0,0,0
120,0,0,12.9,0,0,2.24,0,8.21,0,0,0,0,0,0
