stage,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.26,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.9,0,0,0,0.98,0,2.05,0.82,0,0,2.57,0,0,0,0,0,0
 24-34,0.91,0,0.73,0,0,0,0,0,1.61,0,0,0,0.63,0,7.02,0,0,0,0.65,0,0.8,0.98,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.58,2.06,0,3.53,1.47,0,0,0,0,0,0,0,0,0
 48-58,0,0,0.69,0,0.58,0.77,0,0.65,0.5,0,0,0,1.33,0.42,12.06,0,0,0,0,0,0,4.37,0,0,0
 60-70,0,0,6.03,0,0,9.05,0,0,0,1.26,0,0,2.66,0,6.58,0.58,0.58,0,0,0,0,1.36,0.59,0,0
 72-82,0.96,0,11.25,0,0,0,0,0,0,0,0,0,3.39,0,13.04,0,1.37,0.5,0,0,0,0,0,0,0.93
 84-94,0.88,0,1.46,0,0,0,0.89,0,0,0,0,0,0.55,0,2.97,0,0,0,0,0.67,0,0,0,0,0
 96-106,0,0.56,1.58,0,0,6.64,1.44,0,0,0,5.19,0,6.15,0,5.66,0,0,0.65,0,0,0,0,0,0.7,0
108-118,0.52,0,3.91,0.55,0,0.97,0.48,0,0,0,0,0,6.59,0,4.61,0.46,0,0,1.46,0,0,0,0,0,0
120,3.78,0,0,0,0,0,3.34,0,0,0,0,0,5.8,0,0,0,0,0,2.69,0,0,0,18.73,2.15,0
