stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature
  5-6,0,17.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05,0,0,0,7.4,0,0,0,0,0,0,0,0
 10-12,0,7.29,0,26.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.21,12.96,0,0,360.19,0,0,0,0,6.98,0,0,0
 14-21,0,0,0,14.1,418.42,41.71,10.69,0,7.41,0,5.73,2.98,0,0,0,0.84,9.66,0,72.17,1.71,0,79.38,184.98,8.16,8.58,8.47,28.11,39.95,346.99,175.65,50.8,292.55,323.84,0,9.93
 24-34,0.88,0,0,8.6,445.36,11.1,8.68,0,56.25,12.5,25.68,8.82,8.37,0,4.31,7.28,2.21,1.09,273.24,2.59,0,125.75,220.8,5.13,4.5,6.21,0,47.39,8.41,105.43,12.12,279.37,201.65,0,119.28
 36-46,0,0,0,0.71,72.22,0,6.73,15.6,20.15,38.89,7.37,1.14,12.24,0,22.4,2.67,10.97,0,234.22,0,0,77.23,72.11,0,0,4.43,0,13.85,0,107.62,2.01,2.4,37.37,0,71.41
 48-58,0,0,0,0,23.85,4.86,13.55,0.74,11.02,33.86,10.51,3.82,6.6,0,0,4.37,0,0,189.99,0,1.29,71.29,72.35,0,0,0,0,9.18,0,47.93,1.75,0,19.22,0,77.99
 60-70,0,0,0,0,10.14,0,13.79,4.1,16.95,27.34,4.82,0,0,7.02,0.92,0,0,0,119.57,0,1.04,10.4,39.18,0,0,0,0,2.38,0,21.73,1.25,0,3,0,12.24
 72-82,0,0,0,0,2.33,0,7.15,0,22.92,11.93,3.02,0,0.81,0,0.5,0,0,0,55.88,0,1.24,6.57,11.55,0,0,0,0,1.22,0,19.63,0,0,1.63,0,38.08
 84-94,0,0,1.05,0,0,0,7.57,0,0,11.77,4.38,0.73,0,0,1.07,0,0,0,39.02,0,0,11.69,17.08,0,0,0,0,0.65,0,18.74,0,0,1.48,0,10.55
 96-106,0,0,0,0,0,0,7.46,0,0.9,11.79,13.47,4.82,0,0,0,5.55,0,0,28.1,0,1.16,5.55,6.23,0,0,0,2.41,1.81,0,27.06,0,0,0,0,15.87
108-118,0,0,0,0,1.89,0,2.81,2.06,0,17.26,0,18.6,0,0,0,0,1.88,0,34.62,4.25,0,3.92,14.75,0,0,0,0,1.42,0,31.98,0,0,0.78,0.63,0.59
120,0,0,0,0,11.56,0,21.78,0,0,36.12,0,77,0,0,1.77,0,0,0,37.4,0,0,0,27.64,0,0,0,0,0,0,22.97,0,0,0,0,33.82
