stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,242.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.98,0,0,0,0,0,0
  5-6,111.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.61,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.58,0,0,0,9.2,0,0,0,0,0,0,0
 14-21,0,0,10.01,19.1,11.62,1.3,0.81,4.85,0,0.87,0,64.95,8.66,5.05,0,2.15,4,0.96,0,0,0,2.51,0,3.19,0,0,0,3.8
 24-34,0,0.76,2.89,0,2.71,0,0,0,0,0,11.39,43.86,13.67,7.63,0,4.71,16.33,3.18,0,0,0,2.49,0,18.47,0,3.19,0,1.29
 36-46,0,0,1.39,0,6.29,7.27,0,2.56,0.65,0,61.88,0,8.94,6.41,0,0,18.73,0.6,3.02,0,0,1.69,0,9.81,0,0,0,6.25
 48-58,0,0,0,0,2.24,5.73,0,0.44,0,0,54.62,0,0.62,4.01,0,0,9.21,0,1.14,0,0,0.67,0,2.76,0,2.02,0,9.05
 60-70,0,0,4.11,0,0,54.29,0,0,0,0,143.41,2.14,3.12,5.6,0.82,0,6.19,1.13,5.17,2.27,0,4.89,0,8.13,0,0,0,10.31
 72-82,0,0,0,4.13,7.17,103.87,0,0,0,0,79.76,1.59,0,5.5,0,0,13.01,0,0,0,0,0,0,1.65,0,3.07,0,0
 84-94,0,0,0,0,10.88,91.87,0,0,0,0,91.39,5.7,0,0,0,0,0,0,0,0,0,3.17,0,5.39,0,6.13,0.75,1.24
 96-106,0,0,2.13,0,11,123.24,0,0,0.61,0,69.32,4.87,1.15,3.99,0,0.58,15.08,0,2.88,0,0,13.19,2.19,4.59,0,0,0,17.05
108-118,0,0,0,0,10.86,150.17,5.64,0,0,0.58,104.32,27.62,0,0,0,0,14.74,0,0,0,0,0,0.44,4.09,0,0,1.07,0.46
120,0,0,0,14.27,33.88,133.14,7.59,0,0,0,47.42,26.32,0,6.69,0,0,42.01,0,4.59,0,0,0,1.22,9.54,3.52,0,0,7.7
