stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,19.08,0,0,0,0,0,0,0,0,0,0,0,0,0,16.39,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.21,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0.83,0,0,0
 24-34,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,3.32,0,0,0,0,0.83,0,0,0,0,0
 36-46,0,0,0,0,0,3.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0
 48-58,0,0,0,0,0,1.48,0,0.67,0,0,0,0,0,0,0.83,2.69,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,1.02,0,0,1.08,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,1.15
 72-82,0,0,4.3,0,1.9,0.51,0,0,24.23,0,0,0,0,0,0,5.7,0.73,0,0,0,1.51,0,0,2.23,0,5.65
 84-94,0,0,4.91,0,0,1.88,0,0,30.03,0,0.65,0,0,0,0.68,4.85,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,20.45,2.82,27.58,2.63,0,0,278.01,1.4,0,0,0,0.75,3,32.67,0,0,0,0,2.55,0,0,0,4.4,0
108-118,0,0,22.18,0,13.45,2.02,3.51,3.65,610.91,0.9,1.12,0,0.43,3.99,6.05,31.42,0,1.96,2.8,0,3.56,0,0,0,0,0
120,2.37,0,18.28,0,14.63,0,9.19,13.9,500.49,26.62,4.95,1.84,0,0,9.04,23.76,0,0,0,0,1.32,0,0,2.77,0,0
