stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,118.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.98,0,0,0,0,0,0,0,0,0,0
  5-6,27.75,0,0,0,0,0,0,0,0,0,0,16.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.52,3.96,0,0,9.17,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.11,0,0,14.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.85,0,0,0,13.59,0,0,3.78,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.81,0,0,0,0,0,2.36,0,0,0,0,0,0,0,0,0.86,0.87,0,0.91,20.38,0,0,0,0,0,0,1.12,1.31,1.46,2.5,6.38,0,0,4.55,0,0
 24-34,0,0,0,1.54,0,3,0,0,0,0,0,0,0,0.98,2.35,0.63,0,0,0,8.25,0,4.51,124.14,0,1.9,0,0,0,0.96,0,0,0,0.61,32.93,0,0,2.73,0,0
 36-46,0,0,0,10.72,0,27.94,0,0,0.57,3.4,0,0,0,0,0,0,0,0,0,13.7,0,1.95,200.92,0.82,0,0,0,0,0,0,0,0,0,34.86,0,0,2.75,0,0
 48-58,0,0,0,4.08,0,84.63,0.81,0,1.27,5.73,0,0,0,0,0.52,0,0,0,0,14.72,1.14,2.77,354.02,1.41,0.68,0,0,0,2.57,0,0,0,0,54.2,0,0,5.79,0,0.79
 60-70,0,0,0,1.68,0,126.37,0,0,0.88,8.32,0,0,0,3.47,0,0,0,0,0,17.22,0,0,439.71,0,1.78,1.2,0,0,1.29,0,0,0,0,34.69,0,0,1.97,0,2.49
 72-82,0,0,0,3.5,0,125.52,0,0,0,8.36,0,0,0,5.49,0,0.57,0,3.49,0,24.9,2.44,0.68,336.71,0.58,1.64,2.02,0,0.71,0,0,0,0,0,44.78,0,0,1.23,0,0
 84-94,0,0,0,11.54,0,80.81,0,1.41,0,12.28,1.44,0,0,10.87,0,0,1.82,0,0,14.69,4.53,0.6,217.35,0,1.48,0,0,0,0.65,0,0,0,0,23.92,0,0.69,4.06,0.92,0
 96-106,0,0,0,0,0,80.97,0,0,3.07,2.21,2.28,0,0,1.57,0,0,0,0,0,37.41,0,4.89,179.53,0,2.7,1.6,0,0,2.03,0,0,0,0,21.48,0,3.19,5.33,0,0
108-118,0,1.22,0,14.55,1.54,62.66,0,1.84,0.8,13.09,1.22,0,0,2.53,2.01,6.02,0,1.11,0,18.61,1.89,0,324.32,0,0,0.76,0,0,2.46,0,0,0,0,13.87,0.89,0,3.73,0,0
120,0,0,0,1.24,0,45.2,0,1.06,1.29,40.03,0,0,5.1,6,0,0,0,0,1.55,16.84,0,14.79,402.24,0,0,1.61,0,0,1.25,0,0,0,0,47.48,0,0,9.95,0,0
