stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,402.84,9271.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318.79,0,0,0,0,0,0,0,0,0,0
  5-6,775.16,10516.98,10.71,0,0,0,0,0,0,0,0,0,59.8,0,0,0,0,0,0,0,0,0,0,363.99,27.1,0,0,99.66,0,160,0,0,0,0,0,0,0,0,0,0
  7-9,197.01,61.6,86.79,0,0,0,181.19,0,0,0,0,0,210.98,0,0,0,0,0,0,0,0,0,0,1983.66,130.4,0,0,852.08,0,0,31.23,0,0,0,0,0,0,0,0,0
 10-12,0,29.79,45.53,0,0,0,59.01,0,0,0,0,0,159.81,0,0,0,0,0,0,0,0,0,3.87,744.87,93.81,0,0,601.64,0,0,25.85,0,75.78,8.89,4.33,0,0,0,0,0
 14-21,0,0,1.74,16.57,8.16,0,21.49,0,0,0,1.76,0,0,2.02,0,0,0,0,0,15.36,0,0,20.79,195.33,3.97,0,1.83,5.27,0,0,0.91,61.62,0.9,39.87,48.49,0,0,2.84,0,0
 24-34,0,0,0.59,11.02,0.81,0,9.15,0,0,0.83,10.94,0.89,0,6.51,13.53,3.8,0.65,0.86,0,50.81,0.69,0.81,13,291.07,0.62,0,3.28,0,0,3.94,0,0,0,12.57,79.64,0,0,111.5,0,13.43
 36-46,0,0,0,22.89,0,0,17.8,0,1.6,1.77,26.85,0,0,0,12.48,4.57,0,0,1.45,87.51,0,3.19,16.94,297.51,16.99,0.56,0.76,0,0,1.66,0,0,0,0,67.11,0,0,70.11,0.78,10.69
 48-58,0,0,0,6.11,0,0,13.62,0.67,1.46,2.11,35.2,0,0,5.23,12.42,12.27,0.46,0.77,2.99,86.91,0,1.8,14.39,118.77,0,0,1.5,0,0,0.56,0,0,0,0,45.46,0,0.89,41.55,0,6.37
 60-70,2.52,0,0,2.43,36.75,0,27.86,0,0.99,3.72,45.55,1.4,0,0.76,18.66,11.54,1.35,0,0.93,130.84,0,2.18,9.55,149.23,1.31,0,0,0,0,4.16,0,0,0,0,13.44,0,3.99,55.73,1.13,12.56
 72-82,0,0,0,2.81,5.14,0,19.89,0,0,4.38,38.01,0,0,9.33,25.88,5.05,1.99,0,0,88.83,0,3.71,10.93,113.24,0,0,2.03,0,0,2.46,0,0,0,0,9.36,0,0.5,49.46,2.36,1.78
 84-94,0,0,0,9.53,0,0,24.38,3,0.78,1.89,35.2,0,0,1.16,35.89,11.3,0.66,0,0,79.74,0,9.3,8.17,94.57,1.17,0,1.5,0,1.35,4.01,0,0,0,0,26.01,1.01,0.71,42.47,0,17.48
 96-106,0,0,0,1.26,0,0,12.15,0,3.92,5.82,28.09,0,0,1.75,23.85,17.85,0,0,0,80.05,0,2.42,5.96,95.08,0,0,3.24,0,0,2.41,0,0,0,0,3.09,0,0,29.3,3.58,5.68
108-118,0,0,0,2.38,0.69,2.65,12.14,0,0.89,0,40.28,0,0,3.06,49.44,22.38,0,0,1.1,88.98,0,7.43,9.2,98.73,0.72,0,4.21,0,0,0.86,0,0,0,0,5.71,3.42,1.3,50.27,0,12.74
120,0,0,1.28,5.19,0,0,19.68,0,8.04,1.52,52.07,0,0,0,44.62,13.65,0,0,0,31.27,0,1.26,4.22,172.29,6.25,0,8.36,0,0,20.04,0,0,0,0,0,0,0,52.97,0,0
