stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,lateral_line,mesenchyme,neural,otic,paraxial_mesoderm,periderm,taste,vasculature
  3-4,9.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,39.23,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,9.08,0,0,6.26,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,9.82,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,8.84,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,1.82,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,1.22,4.61,0,0,0,0,0,0
 84-94,0,1.34,0,0,0,0,0,0,0,11.24,0,0,0,4.46,28.12,0
 96-106,0,0,3.35,0,15.3,0,3.55,0,0,16.21,6.88,0,0,4.14,6.51,0
108-118,0,2.31,0.6,0.56,0,0.63,0,1.17,0,2.97,1.87,0.72,0,1.02,38.2,2.1
120,0,1.32,0,0,0,0,0,0,0,22.61,0,0,0,0,1.65,0
