stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.28,0,0,0,0,0,0,0,0
  5-6,56.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.75,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.86,0,0,0,21.4,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.11,0,0,2.96,0,0,0,1.11,0,0,0,0,0,0,0,2.29,0,0,0,54.06,0,1.37,0,0,0,0,0,0,0.84,30.2,0,0,0,0
 24-34,0,1.42,0.68,0,0,0,1.51,0,0,0,0.87,0,1.04,0,1.32,0,0,0,2.22,0,0,0,667.75,0,5.71,0,0,0,0,0,0,5.62,123.53,0,0,0,0
 36-46,0,0,0,0,0,0,20.69,0,0,0.57,12.22,0,0.73,0,0,0,0,0,24.29,0,0,2.25,1961.12,0,13.17,0,0,0,2.35,0,0,0,280.83,0,0,0,0
 48-58,0,0.92,0,19.85,0,0,125.07,0,1.45,0,29.78,0,1.66,0,3.62,0,0,0.39,26.06,0,0,6.92,2785.89,6.07,11.66,6.13,0,0,5.7,0,0,0,426.74,0,0,0,4.43
 60-70,0,0,0,12.15,0,0,426.56,0,3.85,1.48,42.11,0.62,1.26,0,0,0,0,0,33.47,1.01,0,0,4262.18,0,0.98,2.43,0,0,3.39,0,0,0,468.77,0,0.8,0,3.54
 72-82,0,2.13,0,19.83,1.13,0,474.78,0,0,0.74,48.02,0,0,0.64,0,4.26,0,4.11,31.81,1.49,0.92,5.03,3136.84,0.56,9.7,0,0,0,3.82,0,7.13,0,356.04,1.21,1.33,1.76,6.89
 84-94,0,0.98,0,9.72,2.21,0,443.23,0,0.68,2.28,37.79,0,1.02,0.65,0,1.71,1.35,0,32.55,0,0,2.23,2238.41,0,1.31,0,0,0,1.76,0,0.69,0,252.56,0,1.64,3.93,0
 96-106,0,7.51,0,16.27,6.79,0,269.14,0.88,0,0,32.47,0,1.61,0.95,0,0.8,0,10.54,32.52,11.82,0,1.83,1626.55,0,4.09,0,0,0,7.02,0.73,0,0,125.33,4.07,0,2.1,0
108-118,0,2.2,0,2.54,2.77,0,269.07,0,0,1.84,34.64,1.88,0.89,1.51,0,5.15,0.63,0,24.32,0,0,4.98,1927.51,0,4.64,0,0,2.06,3.35,0,0,0,84.78,0,1,1.64,0
120,0,0,0,8.19,1.53,1.89,339.42,0,0,0,51.19,3.22,0,0,0,0,0,0,37.68,0,0,2.55,2786.49,3.99,0,0,0,0,4.04,0,0,0,121.22,0,0,3.94,0
