stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.69,1059.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.29,0,0,0,0,0,0,0,0,0,0
  5-6,61.4,835.72,0,0,0,0,0,0,0,0,0,0,0,18.67,0,0,0,0,0,0,0,0,0,0,26.54,17.23,0,0,14.61,0,0,0,0,0,0,0,0,0,0,0
  7-9,19.75,62.94,0,30.54,0,0,0,147.7,0,0,0,0,0,69.93,0,0,0,0,0,0,0,0,0,0,770.15,53.19,0,0,320.47,0,19.74,0,0,0,0,0,0,0,0,0
 10-12,0,34.17,0,67.88,0,0,0,111.2,0,0,0,0,0,61.21,0,0,0,0,0,0,0,0,0,0,1186.42,31.55,0,0,396.17,0,11.88,0,58.3,0,20.23,0,0,0,0,0
 14-21,0,0,0,2.13,23.9,7.78,0,4.03,0,0,0,0,1,0.95,1.01,0,0.9,0,0,0,0,7.71,0,1.37,108.67,0,2.09,0.88,9.28,5.7,0,17.11,0,1.46,21.66,25.1,0,0,0,0
 24-34,0,0,0,0.7,2.45,0.76,0,16.72,0,0,0,9.61,0,1.82,0.68,0,0.68,0,0,0.76,0.67,5.86,0,3.02,147.3,0,1.45,0.65,0,5.97,0,0,0,0,3.49,37.52,0,2.81,0,3.81
 36-46,0,0,0,0,0.89,0,0,44.53,0.85,0,0,13.94,0.61,0,0,0,1.48,0,0,1.24,8.55,9.91,0.68,1.95,257.23,0,2.66,0,0,19.15,0,0,1.95,0,0,42.14,0,1.52,0,5.93
 48-58,0,0,0,0,0.86,0,0,76.24,4.14,0,1.48,32.72,0,0,0.39,0.8,0,1.93,0,0,6.93,28.15,4.14,2.77,244.28,6.04,1.46,3.98,0,1.99,0,0,0,0,0,43.52,0,1.85,0,12.35
 60-70,0,0,0.57,0,2.08,0,0,128.31,0,0,0,16.84,2.77,0,0,0,0,3.7,0,0,2.57,34.14,7.7,3.58,235.71,0,1.17,1.03,0,11.39,0,0,2.26,0,0,29.91,0,1.05,0.98,0
 72-82,0,0,0.76,0,2.17,0,0,83.64,0,0.98,0.5,12.77,2.83,0,1.28,1.96,0.53,0,0,0,0,29.62,1.4,0.54,137.01,0,4.4,1.1,0,1.69,0,0,0.64,0,0,15.31,0.51,2.8,2.85,0
 84-94,0,0,1.65,0,4.92,0,3.49,56.74,0,0,1.88,8.07,1.55,0,0,3.76,0.75,0.61,1.57,0,5.72,13.24,0,2.56,69.32,3.66,0,0.63,0,6.77,0,0,0,0,0,3.86,0.71,0,0,0
 96-106,0,0,0,0,3.66,0.59,0.84,38.26,3.38,0,0,7.97,10.16,0,1.39,2.62,0.86,0,0,0,0,19.14,0,1.33,66.85,0,0,1.01,0,11.77,0,0,1.44,0,0,4.21,0,2.46,1.89,1.88
108-118,0,0,0,0,4.13,0,1.05,20.98,0,0,0,4.93,0,0,0.8,6.53,0,1.09,0,0,0,6.61,0,1.32,64.86,0,2.05,0,0,3.31,0,0,0.53,0,0,2.51,0,0.59,0,0
120,0,0,0,0,2.67,1.36,0,16.78,0,0,0,1.41,0,0,0,3.43,0,0,0,0,0,0,0,1.03,82.43,0,0,0,0,3.81,0,0,0,0,0,0,0,0,0,0
