stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle
  3-4,37.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.89,0,0,0,0,0,0
  5-6,15.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.46,3.33,0,0,0,0,0,0,0,0,0,0,0
 10-12,13.19,0,22.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.4,0,0,0,0,0,3.07,0,8.74,0,0,0,0
 14-21,0,0,0,3.68,0,0,0,0,15.26,0,0,0,0,0,0.81,0,0,9.18,0.88,0,3.61,0.84,0,2.48,1.38,4.02,0.81,0.81,53.53,0
 24-34,0,0,0,0.9,0,0,0,0,11.01,0,1.09,0,0,5.2,0,0,0,13.27,0,8.87,0.62,0,0,8.77,0,3.72,0,0,26.43,0
 36-46,0,0,0,0,0,0.65,0,2.07,1.93,0,0,0,0,0,0,0.6,0,25.98,0,13.86,1.52,0,0,5.49,0,8.21,0,0,26.57,0
 48-58,0,0,0,2.19,0,3.78,0,0,7.95,0,4.03,0,0,0,1.11,0,0,5.61,0,16.48,1.19,0,0,0,0,0.38,0,0,26.03,0
 60-70,0,0,0,8.36,0,4.6,0.66,0,14.29,0,0,0,0,0,0,0,0,16.07,0,11.64,0.62,0,0,6.88,0,6.41,0,0,13.85,0
 72-82,0,0,0,0.65,0.58,4.59,0.74,0,15.36,0,0,0,3.5,0,0.88,1.89,0,8.03,0,17.41,6.03,0,0,1.73,0,0.57,0,0,8.38,0
 84-94,0,0,0,2.61,0,4.33,0.8,0,9.18,0.97,3.88,0.61,0.9,0,2.65,0,0,7.2,0,12.87,8.73,0,0,12.3,2.8,2.51,0,0,6.14,0
 96-106,0,0,0,4.72,0.64,2.25,1.24,0,22.75,1.66,0,0,4.23,1.38,0,0,1.04,10.79,0,31.56,3.47,0,1.44,3.4,0,0,0,0,7.62,1.22
108-118,0,0.83,0,4.4,0,8.31,1.04,0,19.15,0,0,0,0.48,0,1.14,0,0,11.34,0,18.74,4.79,0,0,5.48,0,1.83,0,0,8.86,0
120,0,0,0,4.7,0,5.61,5.5,0,11.54,0,0,0,4.94,0,9.26,0,0,6.32,0,32.01,15.19,0,0,9.21,0,2.39,0,0,10.64,0
