stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,4.42,0,0,0,0,0,0,0,0,0,4.13,0,0,11.67,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.21,0,0,27.01,0,0,0,0,0,0,0,0,0,0,0
 14-21,4.42,10.26,0,0,1.47,0,0,0,0,0,0,31.88,0,0,0,0.92,1.71,0,1.37,34.09,0,3.16,0,0,0,1.03,6.88,85.19,0,0,0,0,0,0
 24-34,0.62,0,1.02,0,9.62,0.67,0,0,0,0,0,20.62,0,0,0,0,0.82,0,4.09,62.19,0,24.04,0,0,0,0,0,8.99,1.21,0,0,2.01,0,0
 36-46,0,0,0,0,34.72,3.52,0,0,0,0,0,5.89,0,23.71,0,2.3,0,4.9,0.57,26.53,0,35.59,0,0,3.23,0,0,0,6.58,0,0,1.52,0,0
 48-58,0,2.9,0,0,59.54,0.81,0,0.89,1.15,0,0,0,0,6.59,0,4.18,0,0,3.1,74.16,0,22.2,0,0,0,0,0,0,8.63,0,0,0,0,0
 60-70,0,2.12,0,0,75.72,2.76,0,1.19,0,0,0,1.17,0,4.8,0,3.97,0,0,0,72.66,0,33.16,0,0,0,0,0,0,1.93,0,0.82,0,0,0
 72-82,0,0,0,0,74.02,0,0,6.56,6.71,0.62,0.51,0,0,7.85,0,1.17,0.53,0.57,3.71,61.96,0.62,34.41,0,0,0,0,0,0,6.69,0,0,0,0,0
 84-94,0,0,0.88,0,88.5,1.47,1.01,1.15,12.45,0,0,4.72,0,11.23,0.68,4.24,0,0,4.69,63.22,0,49.06,0,0,0,0,0,0,11.17,1.52,0,1.57,0,0
 96-106,0,0.79,0,0,69.81,2.38,0.69,3.29,27.31,0,0,0.75,0.63,33.08,0,3.63,0.62,0,7.41,35.28,0,49.6,0,0,5.81,0,0,0,0.84,0,0,3.17,0,19.21
108-118,0,1.37,0,1.47,82.51,1.09,0,8.23,45.93,0,0,1.02,0,23.22,0,2.98,0,1.05,2.61,39.48,2.86,38.89,0,1.97,0,0,0,0,2.32,0.46,0,0,0,0
120,0,0,0,0,129.37,1.18,1.04,26.48,29.83,0,0,0,0,9.66,0,23.04,0,0,4.62,104.86,0,62.27,0,0,0,0,0,0,7.63,0,0,0,9.78,0
