stage,eye,gut,melanocytes,neural,otic,periderm
 36-46,0,0,0,0,0,12.13
 48-58,0,0,0,6.83,0,0
 60-70,7.49,0,0,9.44,0,0
 72-82,8.93,1.05,0,13.99,0,0
 84-94,10.6,0,4.51,12.9,7.38,0
 96-106,4.35,0,0,8.11,0,0
108-118,1.33,0,0,10.4,0,1.55
120,5.4,0,0,21.03,0,0
