stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.61,160.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.64,0,0,0,0,0,0,0,0,0,0
  5-6,24.46,174.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17,0,7.95,0,0,0,0,0,0,0,0,0,0
  7-9,9.01,14.33,0,14.73,0,0,0,3.8,0,0,0,0,7.15,0,0,0,0,0,0,0,0,0,0,186.34,4.43,0,0,122.42,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.28,0,22.4,0,0,0,49.13,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,291.89,13.32,0,0,119.08,0,0,7.55,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.83,7.76,1.73,0,2.1,0,0,3.52,0,0,0,0,0,0,0,0,2.4,0,0,3.99,58.39,2.07,0.98,0,0,0,0.87,0,7,28.37,0,8.88,51.63,0,0,0,0
 24-34,0,0,0,0.59,5.98,0,0,6.64,0,0,3.56,0,0,0,0,3.07,0.61,0,0,8.21,0,0,1.32,73.16,0,2.87,5.65,0,0,8.4,0,0,229.23,0,1.65,71.77,0,3.22,0,0
 36-46,0,0,0,0,2.14,0,0,4.35,0,0.61,0.65,0,0,1.05,0,4.83,0,0.94,0,5.87,0,0,0,139.08,0,9.61,0.64,0,0,0,0,0,142.24,0,0,57.12,0,0,0,0
 48-58,0,0,0,0,0.6,1.48,0,29.1,0,10.53,12.18,1.15,0,0,0,1.46,0,0,0,6.03,1.05,0,1.39,195.51,0,11.53,0.83,0,0,4.1,0,0,78.73,0,0,34.44,0,0,0,0.48
 60-70,0,0,0,0,0.66,0,0,279.15,0,14.43,0,0,5.9,0,0.6,0,0,0,0,4.47,0,7.24,0.59,277.06,0,7.53,0,0,0,2.92,0,0,103.7,2.94,0,31.93,2.62,2.54,0.81,0
 72-82,0,0,0,0,2.23,0,0,510.81,0,7.38,20.47,0.88,1.17,0,0.68,0,0.79,0,0,15.89,0,3.88,0,399.67,0,28.02,0,0,5.32,3,0,0,124.22,0,0,32.56,19.56,0,5.86,0
 84-94,0,0,0,0,4.29,3.17,0,488.73,0,12.27,5.32,1.96,0,0,0,0,0.66,0,0,15.48,4.61,1.31,0,364.31,0,7.26,0.72,0,0,0.64,0,0,208.87,0,0,13.94,11.56,2.24,4.36,1.05
 96-106,0,0,0,0,7.7,4.56,0,559.55,0,0,17.3,2.31,0,0.92,2.89,2.72,3.53,8.9,1.3,25.16,1.66,7.24,0,379.44,0,28.57,2.37,0,5.97,2.69,0,0,195.26,0,0,13.98,24.79,5.8,2.65,1.22
108-118,0,0,9.79,0,11.97,7.37,3.03,612.12,1.05,6.23,23.39,1.06,0,0,10.2,5.24,2.36,0,5.19,21.32,0,23.01,3.33,451.62,0,39.28,2.45,0,4.01,1.67,0,0,209.41,0,0,31.78,24.65,0,7.2,0
120,0,0,0,0,10.05,0,0,428.92,0,9.19,19.94,0,0,0,25.28,7.56,15.09,0,0,52.12,0,44.18,0,762.06,0,37.75,4.88,0,38.99,7.27,0,0,140.78,0,0,10.09,66.32,0,15.26,0
