stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,589.72,7807.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.8,0,0,0,0,0,0,0,0,0,0,0
  5-6,390.66,5379.58,0,10.26,0,0,0,0,0,0,0,0,0,27.71,0,0,0,0,0,0,0,0,0,0,251.86,0,0,0,35.72,0,135,0,0,0,0,0,0,0,0,0,0,0
  7-9,37.64,30.88,0,23.23,0,0,0,43.48,0,0,0,0,0,19.36,0,0,0,0,0,0,0,0,0,0,763.34,14.13,0,0,184.65,0,0,18.68,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,17.53,0,0,0,39.54,0,0,0,0,0,8.29,0,0,0,0,0,0,0,0,0,0,138.22,21.8,0,0,77.06,0,0,0,0,31.9,0,0,0,0,0,0,0,0
 14-21,0,0,1.13,1.01,32.66,9.3,0,5.64,0,0,0,0,0.82,0,0,0,0,0,0,1.88,0,8.67,0,10.23,103.45,2.25,2.5,0,1.8,0,1.6,0,13.6,45.59,0.81,10.47,19.94,0,0,8.95,0,0
 24-34,0,0,0,1.54,23.02,0.81,0,19.04,0,2.28,0,0.98,0,0,2.16,0,2.7,0,1.38,1.07,2.49,23.73,0,6.07,93.02,0,0.68,3.86,0,0,29.99,0,0,42.32,0,3.6,22.53,0,0,8.45,0,1.56
 36-46,0,0,0,0,6.26,4.82,0,22.5,2.68,0,0.64,10.17,0,0,1.77,1.62,1.63,0.61,0.68,0,5.87,16.02,0,2.57,88.35,3.59,0,0,0,0,23.99,0,0,43.48,4.75,0,12.1,0,0,4.56,0,0.81
 48-58,0,0,0,0,0.78,0.58,0,38.86,0,0.93,3.71,7.56,2.3,0,0,2.41,2.71,2.49,0.41,0.66,2.49,10.57,2.61,3.6,68.21,0.58,0,0.59,0,0,5.73,0,0,14.3,0,0,8.58,0,0,4.06,0,9.31
 60-70,0,0,0,0,2.34,0,0,63,0,0,0.85,12.92,5.52,0,0,4.99,4.92,0,1.12,0,0,18.67,10.73,1.49,95.64,0,0.89,7.94,0,0,3.36,0,0,24.05,1.58,0,10.34,0,1.29,1.26,0,0.79
 72-82,0,0,1.14,0,7.95,0,0,71.57,0,0.8,2.35,12.53,5.17,0,0,5.2,0.66,0.49,1.77,6.58,0,20.85,0,4.56,72.75,0,4.45,1.35,0,0,10.8,0,0,23.92,0,0,8.46,0.82,1.52,2.46,0,2.51
 84-94,0,0,0.73,0,11.71,0,0,34.68,0,1.13,3.82,12.07,7.96,0,0,15.41,2.71,4.33,1.13,3,4.09,24.18,0,6.68,46.45,0,0,5.36,0,0,26.5,0,0,18.14,0,0,15.09,0.55,1.93,4,0,3.53
 96-106,0,0,1.78,0,14.97,0.69,0,37.8,0,0,0,15.29,5.2,0,0,5.5,0.91,0,0.58,9.76,0,14.19,0.56,2.1,39.4,0,3.41,1.44,0,0,15.23,0,0,20.83,0,0,2.09,2.03,5.29,4.52,0.9,0
108-118,0,0,0,0,14.48,3.53,1.95,31.1,0,0,0,14,5.62,0,0,5.6,4.85,5.31,0.98,16.26,0.52,21.02,0,2.59,68.59,0.89,2.71,1.61,0,0,20.97,0,0,19.58,0,0,4.05,3.41,1.37,19.12,0,2.24
120,0,0,0,0,13.32,3.54,1.6,57.39,0,0,0,11.41,18.76,0,0,16.1,2.69,0,3.66,13.89,0,6.4,8.33,6.44,101.77,0,1.57,1.43,0,7.72,8.87,0,0,18.68,0,0,0,0,0,1.66,0,0
