stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,xanthophores
  3-4,0,44.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.43,120.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.86,0,0,0,0,0,0
  7-9,0,0,0,0,0,6.02,0,0,0,0,0,0,0,0,0,0,0,89.48,0,0,18.1,3.78,0,0,0,0,0,0
 10-12,0,3.64,38.8,0,7.97,4.13,0,0,0,0,0,0,0,0,0,0,0,522.11,13.44,0,89.09,3.3,24.34,0,0,0,0,0
 14-21,0,0,0,2.31,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0,0,0,0,5.11,0,0,0,0,0,0
 24-34,0,0,0,2.34,0,0.98,0,0,0,0,0.63,0,0,0.74,0,0,0,6.99,0,1.79,0,35.48,0,0,0,0,0.69,2.13
 36-46,0,0,0,3.07,0,0,0,0,0,0,0,0,0.83,0,1.05,0,1.58,12.5,0,0,0,62.8,0,0,0,0,0,0
 48-58,0,0,0,1.2,0,2.49,0,0.71,0,0,0,1.12,0,0.41,4.87,0,0,11.7,0,0,0,21.54,0,0,0.73,0,2,0
 60-70,0,0,0,3.67,0,1.51,0,0.74,0.84,0,0,0,0,0,7.8,0,1.6,15.99,0,0,0,27.91,0,0,4.21,0,0,0
 72-82,0,0,0,0,0,9.06,4.55,0,0,1.78,0,0.54,0,0,0.52,0,0,6.3,0,1.33,0,31.29,0,0,4.28,1.16,0,0
 84-94,0,0,0,4.33,0,0,0,1.54,0,0,3.09,0,0,0,0.84,0,0,4.78,0,0,0,70.76,0,0,0,0,0,0
 96-106,0,0,0,5.43,0,0,0,1.1,0,0,0,0.93,3.56,0,2.58,0,0,2.13,0,0.68,0,62.31,0,0,0,0,0,0
108-118,0,0,0,2.05,0,5.99,0,0.61,0,1.97,0.79,0,2.19,0,0,0.53,0,20.72,0,0,0,24.68,0,0,0,0,1.89,0
120,0,0,0,26.58,0,27.49,0,1.01,0,0,0,8.85,4.02,0,14.48,0,3.68,4.14,0,0,0,77.52,0,1.63,0,0,6.42,0
