stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,19.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.49,0,0,8.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,20.41,168.48,0,0,118.91,0,0,0,0,6.81,0,0,0,0,0,0,0,0,0,1187.76,7.81,0,0,41.97,0,4.24,0,25.32,0,0,0,0,0,0,0,0
 14-21,0,0.91,6.18,2.76,9.64,0,0,0,0,0,0,0,0,0,0,0,5.12,0,1.24,82.75,0,0,0,0,0,0,0,0,0,0,10.93,0,0,0,0,0
 24-34,0,0,2.77,0,12.78,2.46,0,4.27,0,0,0,0,0,14.67,2.05,0,12.25,0,13.71,261.95,0,1.62,13.79,0,0,18.17,0,0,0,1.92,38.72,0,0,0,0,0
 36-46,0,0,0.83,0,174.16,9.45,1.34,9.61,0,0,0.75,0,0.78,8.06,0,0,2.46,1.73,7.73,513.15,0,0,10.42,0,0,12.63,0,0,0,0,72.95,0,0,0.55,0,0
 48-58,0,0,0.98,0,243.86,1.02,0,24.99,0,0,0,0,0,5.31,0,0,13.32,0.69,1.43,370.9,0,1.14,32.27,0,0,0,0,0,1.19,0,43.54,0,0.42,0,0,2.31
 60-70,0,0,7,0,1166.71,0.83,0.87,45.08,0,0,0,0,0,12.04,0,6.76,6.04,0,0.72,310.51,1.3,0,31.37,0,0,1.26,0,0,0,0,21.83,0,0.59,0,0,1.87
 72-82,0,0,4.97,1.02,1045.05,0.55,0,27.99,0,0,0,0,0,16.07,0,0,4.66,0,0.73,160.67,0,0,57.71,0,0,2.62,0,0,0,0,12.59,2.66,1.61,1.22,0,0
 84-94,0,0,8.24,0.81,1127.09,0.98,0,14.7,0.96,0,0,0,0,15.77,0,0,7.97,3.14,3.05,135.07,1.85,0,74.94,0,0,11.74,2.8,0,0,0,4.5,0.71,0.84,1.24,3.15,6.14
 96-106,0,0,2.2,9.45,851.06,0,6.52,16.72,0,0,0,0,0,19.79,0,0,7,0,9.05,80.22,0,0,77.17,0,0,5.88,0,0,0,0,5.52,0,0,0,2,0
108-118,0,0,3.78,0,610.08,0,0,13.59,0,0,0,0.65,0,13.93,0,1.8,18.81,0,8.38,79.17,0,0,73.08,0,0,6.81,0,0,0,0,1.82,0.68,0.99,0,0,0
120,0,0,0,0,687.76,0,0,48.93,0,0,0,2.37,0,13.36,0,0,0,0,8.71,84.01,0,0,76.04,0,3.42,1.04,0,0,0,0,0,0,0,3.23,4.11,3.28
