stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,278.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,180.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.57,0,0,0,21.74,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98,0,0,0,7.38,0,0,0,0,0,0,0
 14-21,0,0,0,1.31,31.68,0,1,0,0,0,0.86,0,0,0,0,63.42,1.39,0,0,0.93,28.86,0,0,0,4.08,0,0.81,0,0,0,0
 24-34,0,0,4.28,0,26.88,1.28,6.5,0,0,0,0,0,0,0,0,218.79,1,0,0.77,5.88,48.89,0.76,0,0,0,0,0.72,0,0,0,0
 36-46,0,0,0,0,3.45,0.7,19.18,0,0,0,0,4.2,0,0,0,97.6,8.36,1.3,0,6.27,15.87,0,0,0,1.16,0,2.07,0,0,0,0
 48-58,0,0,0,0,28.79,1.26,87.71,0,0,0,0.75,9.93,0.51,0,0,37.01,6.67,0.55,2.83,10.21,22.84,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,86.85,7.36,175.51,0,1.22,0,0,14.36,0,0,0,211.32,185.42,0,2.72,10.8,12.09,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,176.78,3.85,77.54,0.77,1.6,7.61,0,11.58,3.4,0,0,81.12,212.52,38.16,1.14,13.57,0.56,0,0,0,0,0,0,5.36,2.22,0,1.37
 84-94,0,0,2.24,0,202.11,9.63,426.42,0,0.96,0,0,14.8,1.28,4.87,0,18.53,146.06,21.9,4.19,16.6,5.31,0,0,0,0,0,0,25.86,0,1.47,1.55
 96-106,0,0,1.05,0,373.05,9.83,90.17,1.88,0,25.59,0,14.83,1.55,0,2.21,20.77,257.08,24.49,4.14,12.26,0.57,0,0,0,2.01,0,1.72,40.64,0,1.54,0
108-118,1.68,0,0,0,337.38,7.86,418.08,1.46,0,39.61,0,2.8,2.05,0,0.41,43.41,277.52,28.81,0,23.05,0,2.01,0,0,3.23,2.18,0.92,101.27,0,0,0
120,0,0,0,0,210.4,0,240.48,0,0,22.79,0,10.32,0,0,10.14,10.99,110.87,31,0,11.48,0,11.55,2.55,0,0,0,0,6.77,0,0,0
