stage,eye,glial,mesenchyme,neural,somites
 14-21,0,0,0,0.92,0.98
 36-46,0,0,0.87,0,0
 48-58,0,0,0.5,0,0
 72-82,1.65,2.65,0,0,0
 96-106,6.4,0,0,0,0
108-118,5.16,0,0,5.53,0
