stage,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,immune,liver,mesenchyme,muscle,neural,notochord,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,13.81,5.47,0,0,2.9,0,0,1.93,0,0,0,0,0
 36-46,0,0,0,0.91,14.96,0,0,0,0,0,6.6,6.3,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,10.44,5.21,0,2.24,0,3.37,1.21,0.61,14.75,0,0,0,0,0,0,6.01,0,0,0,0
 60-70,0,0,0,3.81,6.57,0,2.19,0,4.9,0,1.31,14.35,0,0,0,0,1.25,0,1.91,2.13,0,0,0
 72-82,0.54,0,1.06,2.26,1.18,0,0,0,7.56,0.8,3.35,25.93,2.81,0.89,0,0,3.15,0,0,0,1.08,0,3.93
 84-94,0,0,11,3.81,2.3,0.71,0.69,0,22.91,8.91,0,11.63,0,0,0,1.02,0,0,0,0,0,0,0
 96-106,7.34,1.26,12.13,17.6,0.9,0,0,0.94,27.37,2.58,1.7,22.11,0,0,1.01,0.68,0.82,0,0,0,0,0.69,0
108-118,0,1.95,46.66,7.22,5.57,0.53,2.59,0,28.75,5.53,3.51,23.88,0,0,0.45,1.29,1.16,0,0,0,0,0,0
120,0,0,18.14,5.61,1.18,0,0,0,32.34,2.56,1.24,5.17,0,0,0,13.16,2.33,0,0,0,2.64,0,0
