stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,24.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.36,89.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.35,0,0,0,0,0,0,0,0,0,0,0,27.96,0,0,0,12.95,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.23,0,0,0,0,0,0,0,0,0,0,0,9.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.85,5.25,0.89,1.77,0,0,0,0,0,0,0,9.29,0,0,0.92,26.13,0,0,0,1.03,0,0,0,0,1,5.75,0,0,0,0
 24-34,0,0,0,3.66,0,5.32,0,2.76,0,0,0,0.79,0,4,0,0,2.44,81,0,0.94,0,0,0,0,4.53,0,0,16.33,0,0,1.57,0
 36-46,0,0,0,2.02,1.32,10.79,0,1.08,0,0.6,0,0.62,0,10.31,0,0,5.47,71.67,0,0,0,0,0,0,1.44,0,0,17.73,0,0,1.01,0
 48-58,0,0,0,5,0,55.16,0,13.96,0,0.69,0,0,0,8.99,0,0.56,1.89,130.47,0,0.55,0,0,0,0,0.53,0,0,28.06,0,0,2.19,0
 60-70,0,0,0,0,1.48,239.68,0,2.69,1.93,0,2.8,0,0,14.7,0,0,0,67.51,0,3.3,0,0,0.71,0,0,0,0,11.51,0,0,0,0
 72-82,0,0,0,1.69,4.72,227.58,0,5.21,0,0,0,0,0.65,9.02,0,1.13,1.31,63.96,0,1.07,0,0,0,0,0.85,0,0,4.27,0.56,0,0,0
 84-94,0,0,0,0.58,1.38,158.28,0.76,1.11,0.98,0,0,0.94,0,17.8,0,0,1.75,32.76,0,0,0,0,0,1.44,0.86,0,0,0,1.8,0,0,0
 96-106,0,0,0,1.46,2.61,186.61,1.46,8.14,0.7,0,0.9,0,0,6.65,0,0,3.53,58.22,0.61,0,1.18,0,0,2.6,3.77,0.6,0,4.48,0,1.15,0,3.31
108-118,0,0,0.74,1.51,0,187.21,0,7.31,1.2,0,0,0,0,6.08,0,0,0.47,38.93,0.72,0,0,0,0,0,0,0,0,5.28,0.48,0,0,0
120,0,0,0,3.97,7.77,280.24,0,28.53,0,0,2.17,3.69,0,28.09,1.56,16.56,2.44,65.94,0,0,0,0,0,0,0,0,0,0,0,0,1.66,0
