stage,axial,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  7-9,5.87,4.12,0,0,4.22,0,0,0,0,0,0,0,0,0,0,0,0,0,9.97,0,0,12.18,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.97,9.53,0,4.77,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87,0,0,8.78,3.95,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,1.97,0,6.06,0,0,0,0,0,0,0,0,0,9.32,0,0.89,19.96,176.69,0,0,0,0,0,0,7.33,0,0,0
 36-46,0,0,3.09,0,17.28,0,0,0,0,0,0.99,0,0,0,32.85,0,1.12,1.92,396.36,0,0,0,0,0,0,17.47,0,0,0
 48-58,0,0,6.8,0,98,0,0,0,3.13,0,0,0,0,0,64.84,0,0,4.51,644.4,9.82,0,0,0,0,0,36.44,1.28,0,1.06
 60-70,0,0,1.54,1.61,289.7,0,0,1.47,3.67,0,8.3,3.19,0,0,82.07,0,0,0,1293,0,0,0,0,3.82,0,69.51,1.17,0,23.61
 72-82,0,0,9.38,1.33,420.83,0,1.74,1.27,13.52,0,6,0,0,0,62.51,0,0,3.3,1475.67,0,0,0,0,0,0,15.99,1.62,4.36,6.09
 84-94,0,0,10.36,0,294.51,0,0,1.57,12.11,0,14.06,0,0,0,70.76,0,3.45,0,1187.62,0,1.17,0,0,0.93,0,24.19,2.56,9.75,0
 96-106,0,0,10.41,0,198.6,1.19,0,0,10.81,0.8,14.55,0,4.51,10.06,49.33,1.74,9.18,4.29,965.11,0,0.77,0,2.69,6.16,2.47,20.62,0.99,0,0
108-118,0,0,6.88,4.7,201.91,0,0,2.54,5.89,0,9.29,0,0.81,1.71,65.82,0,0,2.29,1483.73,0,0,0,0,1.17,0.81,31.52,4.16,1.7,5.68
120,0,0,14.42,1.84,227.92,0,4,0,29.72,0,2.18,0,0,0,33.34,0,16.61,2.35,1926.28,1.03,3.34,0,0,0,0,13.64,1.56,3.79,0
