stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.02,3.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.88,0,0,3.9,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35,0,0,0,0,0,0,0,0,2.45,2.17,0,0,0,0,0
 24-34,0,1.05,0,1.28,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,74.78,0,1.62,1.55,0,0,0,0,0,0,7.35,0,0,0,0,0
 36-46,0,0,0,0.84,0,0,3.23,1.39,0,3.97,0,3.2,0,0,0,0,0,0,0,0,270.76,0,0.83,0.8,0,0,0,0,0,0,20.62,0,0,0,0,0
 48-58,0,0,0,2.28,0,0,17.32,0,0.43,3.63,0,0.4,0,0,0,2.09,0,2.48,1.04,0,320.8,0,2.2,3.87,0,4.25,0,0,0.48,0,35.56,0,0,1.32,0,0
 60-70,0,0,0,0,0,0,42.27,0,0,3.09,0,0,0,0,0,4.51,0,0,2.99,0,680.55,0,1.12,1.31,0,0,0,0,0,0,131.34,0,0,2.38,0,0
 72-82,0,0.71,0,1.54,0.87,0,247.06,2.82,1.43,14.61,0,0,0,0,0,9.42,0,0,9.96,0.85,978.82,0,2.48,6.11,0,0,0,0,0,0,148.68,0.95,0.49,1.32,0,7.96
 84-94,0,0.66,0,0.76,0.61,0,285.89,0,2.3,10.67,0,0,0,0,1,13.46,0.68,0,13.02,0,704.8,0,1.84,6.61,0,3.59,0,0,0,0,68.79,0.71,2.14,0.77,0,0
 96-106,0,0.88,0,5.01,7.82,0,403.91,0,0,19.06,0,0,0.74,0,0,23.68,0,0,12.84,3.06,664.11,0.62,1.44,10.27,0,15,3.39,0,0,0,18.28,4.96,0,6.13,1.16,0
108-118,0,0,1.47,15.1,1.13,1.93,452.34,0,0,29.85,0.7,0,0.96,1.01,1.62,13.73,0,0,16.12,0,1106.59,0.55,1.77,4.43,0,0,0,0,0,0,73.15,0.67,0.82,0,2.26,0
120,0,0,0,1.43,7.96,0,471.16,4.82,13.32,72.54,1.21,0,0,0,0,22.03,10.24,0,5.12,0,2122.63,0,7.22,35.69,0,1.53,0,0,0,0,41.6,0,0,0,4.11,0
