stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,ionocyte,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,0,136.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.76,0,0,0,0,0
  5-6,9.58,305.55,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,126.81,0,0,0,0,0
  7-9,0,10.68,27.87,0,0,0,10.28,0,0,0,8.41,0,0,0,0,204.04,11.26,0,0,93.51,35.99,0,0,0,0,0
 10-12,0,0,43.15,0,0,0,6.2,0,0,0,0,0,0,0,0,169.99,0,0,0,26.23,0,0,0,0,0,0
 14-21,0,0,0,12.92,0,0,1.13,1,0,2.56,0,0,0,4.12,0,3.35,0,1.55,0,0.87,16.43,0,2.54,0,0.94,12.87
 24-34,0,0,0,1.64,0,0,2.14,5.37,0,0,0.67,0,0,0.64,0,8.67,0,0,0,0,19.55,0,0,0,0,0
 36-46,0,0,0,0,0,0,6.8,10.16,0,0,0,0,0,1.64,0,32.03,0,3.1,0,0,11.46,0,0,0,0,2.62
 48-58,0,0,0,0,0,0,18.41,0,0,0,0,0,0,0.47,0.42,6.79,0,4.42,0,0,2.7,0.56,0,0,0,7.73
 60-70,0,0,0,0.66,0,0,11.61,1.18,0.98,1.69,0,0,0,4,0,1.74,0,1.27,0,0,4,0,0,0,0,0
 72-82,0,0,0,0,0,0,2.56,0.68,2.25,1.15,0,0,0,0,0,0,0,1.49,0.97,0,9.65,0,0,0,0,0
 84-94,0,0,0,0,1.4,0,2.28,2.69,0,0.92,1.3,0,0,0,0,0,0,6.85,0,0,10.51,0,0,0,0,0
 96-106,0,0,0,4.03,0,1.07,0.82,0,1.61,0,0,0,0.84,0,0,0,0,16.22,0,0,1.88,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0.59,0,0,0,0.46,0,3.59,0,0,0,9.16,0,0,12.12,0,0,5.62,0,2.7
120,0,0,0,2.57,0,0,2.73,12.59,0,0,0,0,0,0,0,0,0,0,0,0,6.01,0,0,0,0,0
