stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,35.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.92,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.62,0,13.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.51,4.06,0,0,52.86,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.29,0,35.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.41,39.86,0,0,24.83,0,0,0,0,26.31,0,0,0,0,0,0,0,0
 14-21,0,0,0,10.33,22.55,0,0,0,0,0,0,4.86,0,0,0,0,0,0,0,145.52,0,0,101.63,52.28,12.56,0,0,2.05,0,0.99,0,0.97,0,0,5.53,283.6,0,0,0,0,0
 24-34,0,0,0.68,2.16,2.14,0,0.92,0,2.55,12.69,0.94,0,0,0,0,0,0,0,2.07,419.97,0,0,168.32,77.43,0,0,0,0,2.91,10.48,0,0,0,0,3.4,99.34,0,0,0,0,0
 36-46,0,0,0,7.57,0.76,0,4.76,0,8.41,37.48,4.46,0,3.72,6.82,0,5.9,0,0,0,507.65,0,6.53,123.76,94.65,0,0,1.46,0,0,18.29,0.81,0,0,0,0,92.14,0,2.46,19.64,1.55,0
 48-58,0,0,0,5.74,1.51,0,27.96,0,0.89,72.2,7.89,0,0,3.41,0,0,0,0,4.15,775.44,0.4,31.03,114.98,175.59,0,0.94,0,0,1.17,15.81,0,0,0,0,0,37.75,0,27.11,8.89,0.48,16.04
 60-70,0,0,0,23.38,0,0,71.76,0,9.38,54.51,85.26,0,0.58,1.65,0,0,0,0,0,1279.78,0,122.21,107.32,120.02,0,0,0,0,128.5,4.03,0,0,0,2.94,0,17.15,0,61.75,7.91,28.78,1.64
 72-82,0,0,0,16.11,0,0,94.1,2.66,3.87,57.86,193.16,0,7.34,0,0,0,0,7.06,0,1799.41,0,186.39,124.82,253.35,0.89,1.43,2.08,0,192.52,13.05,0,0,0,2.56,0,36.8,0,149.8,10.86,74.31,16.62
 84-94,0,0,0,9.11,6.15,0,133.59,0.57,3.95,65.72,162.58,0,8.99,3.29,1.6,0.74,0,3.63,0,1578.45,0,183.64,79.84,153.58,0,1.84,1.87,0,117.88,6.62,0,0,0,0,0,13.96,0,91.39,1.87,76.03,22.75
 96-106,0,0,0,11.89,6.86,0.84,118.38,0.9,0.61,42.12,206.51,1.32,8.2,9,0,0,2.03,14.86,0,1546.94,5.92,162.66,89.64,237.4,0,3.56,3.34,0,404.35,12.26,0,0,1.75,0,0,10.25,0,116.77,1.51,65.49,13.74
108-118,0,0.98,0,12.14,0.52,0,49.36,0.92,5.24,75.92,259.19,0,6.89,5.92,0,4.18,0,0,0,1614.87,1.15,207.25,77.65,210.2,0,0,0,0,506.16,9.59,0,0,0,0,0,10.99,0.66,95.79,4.72,61.72,4.57
120,0,0,0,40.31,0,15.5,70.65,0,6.74,79.58,291.17,0,9.64,7.65,0,0,0,6.52,0,2226.54,0,273.51,161.99,214.81,0,0,0,21.93,781.32,23.68,0,0,0,10.96,0,10.07,3.68,109.25,0,130.32,12.89
