stage,epidermis,erythrocytes,eye,fast_muscle,glial,gut,heart,ionocyte,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,3.71,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.6,0,0,0,1.47,0,0,0,0,0,6.87,0,0,0,0,0,1.01,2.22,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,10.53,0.64,0,0,1.09,0,0,1.75,0,0
 48-58,0,0,1.96,0.86,0.58,0,0,0,0,0,0,0,25.61,0,0,0,6.43,0,0,1.43,0,0
 60-70,0,0,16.19,0,1.7,0,0,0,0,0.72,2.01,0,18.04,0,0,0,0,1.95,0,0,0,0
 72-82,0,0,6.37,0,1.4,0,0,0,0,0.68,0,1.8,15.71,0,1.42,0.71,1.75,0,0,4.39,1.16,0
 84-94,0.56,3.11,0,0,1.19,0,0,1.72,0,0,2.29,0,1.13,0,0,0,0.75,0,0.61,2.08,0,0
 96-106,0.8,0,1.89,0,0.97,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,1.06
108-118,0.46,0,1.8,0,0.86,0,0,0,1.34,0,0,0.48,6.45,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,3.16,0,2.26,0,0,0,1.04,25.15,0,0,0,0,0,0,0,0,0
