stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,83.46,2.11,0,0,0,0,0,25.53,0,0,1.23,0,0,0,0,0,0,1.31,0,0,0,219.81,6.5,22.81,3.96,0,0,0,1.18,55.86,0,2.53,223.11,0,0,0,0,0
 24-34,2.06,0,6.73,1.84,0,19.64,0,0,0,51.66,0,1.4,0,0,0,0,2.1,0.65,0,7.9,0,0,19.22,2219.69,0,133.88,5.95,0,4.61,0,0,37.84,0,2.09,784.75,0,0,6.08,0,5.07
 36-46,0,0,18.19,0,0,34.28,0.64,10.16,0,70.06,0,0,1.84,0,0,1.36,0,0,0,16.48,0,0,2.16,4212.32,0,129.25,1.97,0,8.05,0.81,0,33.75,2.79,0.63,1527.28,0,0,4.46,0,2.32
 48-58,0,0,35.08,0,0,267.25,0.97,0,0,165.1,0,0,0,0,0,3.86,3.71,0,5.47,40.48,0.98,0,17.27,4982.96,0.42,112.91,18.95,0,19.23,0,0,6.37,0,0,1328.2,0,0,10.94,0,3.32
 60-70,0,0,11.12,0.59,0,454.69,0,3.05,0.6,110.53,0,0,0,1.6,0,0,6.33,0.68,0,68.8,2.79,0,2.21,5335.49,2.67,77.19,21.69,0,14.73,0,0,24.32,0,0,1094.78,0,0,15.51,0,0
 72-82,2.33,0,19.66,2.53,0,514.81,7.48,0.81,0,166.89,4.89,0,0.89,9.97,2.58,0.93,18.65,0.57,0,53.99,8.55,1.08,0.55,5324.31,1.8,96.51,26.66,0,3.93,0,0,5.24,0,0,724.87,11.48,0.66,1.69,0.71,0
 84-94,5.78,0,37.97,6.63,1.39,508.3,0,0.8,0,95.36,3.59,0,0.7,5.43,2.72,0,22.69,0,0,41.01,12.41,7.17,7.57,3935.78,0.62,130.86,43.58,0,6.09,1.4,0,4.41,1.04,0,471.45,28.28,1.23,0.84,1.13,0
 96-106,2.85,1.39,29.83,3.93,0,326.63,2.44,0,0.89,211.21,9.83,0,2.55,6.52,3.23,2.16,29.96,0.7,11.85,118.56,7.96,0,0,3405.16,2.69,128.23,67.72,19.34,17.64,3.39,0,1.86,0,0,290.22,11.56,6.28,5.73,0,2.92
108-118,2.47,1.76,45.82,5.24,1.93,330.34,0,3.58,3.53,254.29,14.95,0,0.98,5.41,2.49,7.94,23.28,1.26,2.61,83.59,8.78,3.34,0,3724.6,0.78,115.38,62.5,0,8.13,0,0,8.23,0,0,249.43,31.4,0,2.7,2.79,10.53
120,0,0,32.05,3.13,0,516,0,0,1.58,368.65,8.01,0,0,0,1.65,0,30.12,21.88,1.79,127.41,15.36,0,4.5,6301.33,9.66,70.49,65.89,25.32,0,0,0,20.23,0,0,473.32,6.45,0,2.19,1.05,1.64
