stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,0.9,0,0,0,0,0.85,0,0,0,0,0,0,0,0.92,11.23,0,0,0.82,0,0,1.18,0,2.13,7.14,0,0,0
 24-34,0,2.13,0,0.92,0,0,0,0,0,0,0,1.32,0,0,2.72,27.51,1.49,0,0,0,8.46,0,9.58,0,6.82,0,1.49,0
 36-46,0,0.57,0,1.18,0,0,0.89,0,0,0,0,5.2,0,0,1.76,32.61,0,0.69,0,0,1.04,0,0,0,12.98,0,0,0
 48-58,0,0.85,0,17.03,0,7.42,4.58,0,0,0,1.84,4.14,0,0,0,32.9,0.52,0,0,0,0,0,0,0,3.75,0,0,0
 60-70,0,0,0,7.75,0,0,0.74,7.5,0,0,0,2.92,0,0,0,11.23,0,0,0,0,1.84,0,0,0,4.68,0,0,0
 72-82,0,0.49,1.05,27.01,0.5,0,5.46,0,0,1.07,0,14.26,2.09,0,0,24.53,0,0,0,0,0,0,0,0,2.48,0,0,0
 84-94,0,0.7,6.37,16.62,0,0,9.46,1.71,1.03,0,0,12.54,2.16,0,0,3.99,0,0,0,0,1.97,0,0,0,8.05,0,0,0
 96-106,0,1.4,15.29,9.12,1.34,0.88,33.09,0,0,0,0,12.32,0,0.93,0.62,10.04,0,0.79,0,0,1.11,0,0,0,0,0,1.81,0
108-118,0.47,0,9.27,1.78,0,0,3,1.95,0,0,0,7.1,0.77,0,0,12.09,0,0,0,0,2.07,0,0,0,0,0,5.57,1.31
120,0,2.79,0,2.88,0,0,9.48,0,0,0,0,2.6,0,0,0,12.18,0,0,0,3.42,5.45,0,0,0,0,2.93,1.54,0
