stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,24.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,7.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,17.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,57.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.73,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.86,18.74,0,0.91,0,0,0,8.98,0,0,0,0,8.75,0,2.81,26.44,0,0,3.12,0,29.79,0,0.95,41.54,0,0,0,0
 24-34,0.88,0,3.5,7.21,0,2.64,0,0,0,6.1,0,0,0,0,16.84,0,8.3,31.11,0,0,0,1.66,34.13,0,0.64,25.6,0,0,0,0
 36-46,0,0,0,6.92,0,7.31,0,0,0,12.81,2.07,1.05,0,0,28.57,0,11.47,25.76,0,0,0.82,0,8.59,2.01,0,23.16,0,0,0,0
 48-58,0,0,0,8.13,0,5.56,1.36,0,2.8,35.59,0.46,0,0,4.18,23.92,0,4.88,30.55,0.72,0,0.93,2.05,13.78,0,0,24.38,0,0,0,0
 60-70,0,0,0,0,0,9.1,0,0,0,53.81,3.74,0,1.43,0,20.37,0,1.02,47.08,0,0,0.87,0,13.7,0,0,7.21,0,1.19,0,0
 72-82,0,0,0,0,0,12.45,0,0,1.62,101.31,5.48,0,7.51,0.98,69.02,1.13,7.59,46.46,1.39,0,11.82,0,40.83,0,0,9.02,0,1.8,2.15,1.14
 84-94,0,0,0,0.57,1.47,3.28,0,2.52,0,78.53,9.82,0,3.06,6.67,55.09,4.03,2.96,9.27,0,0,6.45,0,43.66,0,0,7.52,0.55,1.75,1.75,0
 96-106,0,0,0,0.99,0,28.93,0,0,0,105.62,4.17,0,3.44,2.07,43.16,0,3.48,15.13,1.54,0.64,8.98,1.58,49.19,0,0,11.94,0,0,1.76,0
108-118,0,0,0,1.8,0,12.42,0,0,0,88.03,3.32,0.61,1.61,13.65,98.38,0,0.47,22.34,0,0.43,12.55,0,28.24,0,0,4.01,0,0,1.24,0
120,0,0,0,7.29,2.03,16.68,0,0,0,58.96,5.59,0,0,14.53,77.49,0,4.3,20.2,3.86,3.8,18.23,0,35.49,0,0,1.34,0,0,0,0
