stage,endoderm,epidermis,exocrine_pancreas,eye,glial,gut,hatching_gland,iridophores,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste
  7-9,0,0,0,0,0,0,0,0,0,9.29,0,0,13.42,0,0,0
 10-12,3.18,0,0,0,0,0,0,0,0,36.52,0,0,9.2,0,0,0
 14-21,0,0.81,0,0,0.99,0.85,0,0,0,2.33,0,0,0,0,1.76,0
 24-34,0,0,0,0,0,0,0,0,0,1.92,0,0.76,0,0.73,1.84,0
 36-46,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,1.37,0,0,0,0,0,0
 60-70,0,0,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0.73,0.59,3.64,0,2.3,0,0
108-118,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0.6
120,0,0,0,0,0,6.24,0,2.88,0,0,0,0,0,3.86,0,0
