stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,ionocyte,lateral_line,liver,mesenchyme,mucous,neural,olfactory,otic,periderm,taste
  5-6,14.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.92,0,0,0,0,1.87,1.8,0,0,0,0,1.55,0,0,2.51,0
 24-34,0,1.03,0,0,0,0,0.67,0,0.64,0,0,0,8.02,1.28,1.34,1.28,18.11,0
 36-46,0,0,1.82,0,0,0,0,0,7.41,0.61,0,0,1.48,16.19,0,3.19,85.26,0
 48-58,0,0,1.07,3.65,0,0,0,1.7,0,1.21,0.39,0.6,6.74,7.89,0.39,0.37,43.49,0
 60-70,0,0,4,2.65,1.96,0,0,0,1.79,0,0.81,0,5.57,26.69,1.27,6.61,75.29,0
 72-82,0,0,3.08,2.47,0.81,0,0,0.59,5.5,4.81,0,0,7.57,7.1,5.62,1.31,48.57,1.87
 84-94,0,0,8.26,0,1.37,0,3.86,2.63,6.59,3.57,0,0,3.11,10.27,0.6,1.37,154.89,2
 96-106,0,0,14.22,3.29,0,0,1.55,0,6.93,1.72,1.99,1.12,13.39,10.43,3.52,5.36,127.98,2.05
108-118,0,0,11.01,0,0,1.29,1.81,0,4.63,8.32,0,1.37,10.24,5.03,4.9,10.03,93.98,1.3
120,0,0,11.47,1.07,0,4.16,3.37,0,10.86,1.11,0,0,14.64,1.36,3.32,5.39,45.03,0
