stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,17.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,11.62,0,0,0,14.53,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.44,0,0,0,0,0,0,0,0,0,5.2,3.96,0,13.49,0,0,0,0
 14-21,0,0,0.94,3.82,0,10.89,0,0,0,0.99,0,0,0.89,0,1.87,6.48,7.18,0,0,0,3.07,0,0
 24-34,0,0.67,0,8.91,0,0.87,0,0,0,0,0,0,9.75,0,0.68,2.89,2.15,1.07,0,1.32,1.21,0,0
 36-46,0,0,0,7.29,0,0,0,0,0,0,0,0,9.22,0,0.75,26.63,3.59,0.76,0,0,0,0.65,0
 48-58,0,0,0,0.6,0,0,0,2.15,0,0,0,0,9.88,0,0.75,10.66,5.7,0.47,0,0,2.37,0,0
 60-70,0,0,0,2.94,0,1.09,0,1.49,0,0,0,0,37.38,0,3.05,12.57,2,1.03,0,0,0.68,0,0
 72-82,0,0,0,6.05,0,2.43,0,0.55,3.31,0,0,0,26.64,0,0.52,6.15,1.3,1.07,0,0,0,0,0
 84-94,0,0,0,12.84,0,5.99,0.69,0,0.59,0,0,0,21.99,0,0,14.21,0,1.45,0,0,0,0,0
 96-106,0,0,0,3.39,1.39,4.86,0,0,0,0,0,0,15.69,0,5.32,1.74,0,2.58,0,0,0,0,0
108-118,0,0,0,10.52,0,6.09,0,2.21,0,0,0,0,25.66,1.3,1.51,2.46,0.53,0,0,0,0,0,0
120,0,0,0,8.04,0,0,0,1.62,0,0,1.19,0,18.18,0,0,3.8,6.22,6.93,0,0,0,0,3.36
