stage,axial,blastomeres,eye,hatching_gland,immune,muscle,neural,otic
  3-4,13.98,11.93,0,0,0,0,0,0
  5-6,0,43.66,0,0,0,0,0,0
  7-9,3.82,0,4,5,0,0,15.1,0
 36-46,0,0,0.61,0,0,0.89,0,0
 48-58,0,0,0,0,0,0,0,1.15
 60-70,0,0,0,0,0,0,1.41,0
 96-106,0,0,0,0,2.56,0,0,0
108-118,0,0,0.55,0,1.72,0,1.63,0
120,0,0,0,0,4.32,0,12.58,5.44
