stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,204.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,26.68,109.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.59,0,0,0,9.08,0,0,0,0,0,3.78,0,0,0,0,0,0,0,0,0,0,0,79.22,0,0,0,6.65,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0,9.68,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,9.86,3.69,0,132.85,0,0,0,0,0,1.39,1.53,2.34,0,0,0,0,0
 24-34,0,0,0,0,10.65,3.06,0,55.77,0,0.92,0,0,0,0,0,0,0,0,0.6,1.91,6.43,13.67,0,0,18.71,237.52,1.32,11888.18,4.72,0,0,15.79,7.14,0,2.54,54.86,0,0,2.37,0,1.12
 36-46,0,0,0,0,222.92,0,0,28.5,0,0,1.45,4.79,0,0,2.7,1.62,0,0,0,0,17.78,22.79,0,0,3.74,385.12,1.62,29315.39,0.67,0,0,13.19,1.92,1.49,0,51.8,0,0,14.38,0,8.82
 48-58,0,0,0,0,51.58,5.44,0,249.17,5.26,2.25,2.73,50.15,1.26,0.37,0,1.84,0,0,0.45,0.39,5.27,78.36,0,1.18,10.61,965.83,0.55,27859.47,0.39,0,0,44.15,0.38,0,0,114.13,0,1.28,13.75,0,16.51
 60-70,0,0,0,0,40.25,0,0,269.93,1.47,7.41,15.3,47.28,90.45,1.71,0,8.47,7.06,0,0,0,2.78,91.41,0.63,4.65,11.67,685.59,11.58,31670.65,0.83,0,3.88,260.54,0,3.45,0,77,0,0,9.95,0,27.11
 72-82,0,0,0,0,71.33,25.08,0.76,721.38,38.93,0.78,7.56,98.35,17.41,0,1.04,16.28,2.4,307.43,10.38,17.46,9.39,323.94,4.68,10.46,20.01,1378.98,2.24,58037.81,13.39,1.13,0.8,55.62,0,0,0,112.76,90.55,4.66,39.59,79.29,43.95
 84-94,0,0,4.58,1.04,73.05,51.88,0,460.31,0,1.63,9.29,82.79,8.89,2.8,4.41,3.17,2.34,7.49,1.3,13.41,4.37,711.79,4.73,2.06,7.93,1021.44,0.98,59399.63,2.09,0,3.75,149.81,5.17,0.57,0,37.3,218.1,0,11.84,10.85,27.86
 96-106,0,0,2.25,0.6,196.91,205.66,15.57,1153.38,11.63,10.65,51.45,461.22,235.97,0,16.25,150.64,59.71,18.53,16.95,98.48,8.84,509.31,23.54,10.03,41.18,2383.98,6.38,100059.78,15.61,0,17.71,211.12,1.8,3.58,0,72.17,181.59,1.04,59.76,6.88,50.17
108-118,0,0,2.38,0,193.17,26.22,31.87,594.15,18.46,25.47,20.27,143.39,127.36,0,0,12.45,4.75,7.38,5.64,105.1,7.49,663.42,7.29,7.34,21.26,942.44,3.09,70238.03,3.18,0,16.78,145.14,1.84,0.47,0,28.24,273.08,12.21,26.06,6.6,38
120,2.39,0,10.11,0,108.38,35.9,3.33,414.98,32.83,8.02,10.25,245.68,20.03,0,1.17,19.08,206.66,640.58,1.54,58.92,0,1188.76,12.84,25.46,27.04,893.37,0,75007.2,1.28,0,2.76,56.69,239,0,0,16.31,6.02,0,10.82,13.54,19.71
