stage,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,46.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.9,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49,0,0,0,0,0,2.1,0,0.82,0
 24-34,0,11.71,3.07,0,0,0,0,0,0,0,0,0,0,0,0,0.89,8.96,0,0,4.67,0.96,1.03,5.78,0,3.35,0
 36-46,0,0,2.34,0,0,1.24,0,0,4.84,0,0,0,0.63,0,0.8,0.65,32.79,0.57,0,1.18,1.74,0.58,1.61,0,1.01,0
 48-58,0,0,10.51,0,0,0,0,0,6.5,0,0,0,1.54,0,0,2.46,20.54,0,0,0,0,0,5.17,0,0.64,0
 60-70,0,0,36.17,0.99,0,0,0,0,12.42,0,0,0,7.86,0,5.1,0.84,28.14,0,2.25,0,0,4.72,13.89,0,2.15,1.09
 72-82,0,0,118.39,0,0,2.98,0.56,0,5.68,0,0,3.02,5.01,0,8.07,2.56,32.24,0,0,0,0,0,3.47,2,5.31,1.76
 84-94,0,0,85.92,0,0,1.08,0,0,23.86,0,0,2.37,12.04,0,2.09,0,8.63,0,0,0,0.76,0.73,3.4,0,3.51,4.99
 96-106,0,3.04,55.53,0,1.54,2.36,1.21,1.02,11.58,0.86,0,3.18,21.99,4.78,5.99,0,32.41,0,0.63,0,0,0,0,0,2.97,3.6
108-118,0,0,68.57,0,0,2.83,1.06,0,9.37,0,0.63,3.9,9.4,0,0.45,0,15.67,0,0.51,0,0,1.73,0.45,0,4.28,4.59
120,0,15.69,103.14,0,0,0,4.25,0,25.85,0,0,5.61,20.46,0,0,5.3,0,0,0,0,0,0,0,0,1.72,0
