stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,42.13,1292.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.53,0,0,0,0,0,0,0,0,0,0
  5-6,37.73,1304.29,0,0,0,0,0,0,0,0,0,0,11.32,0,0,0,0,0,0,0,0,0,0,0,89.06,0,0,0,0,0,21.79,0,0,0,0,0,0,0,0,0,0
  7-9,12.79,20.92,0,24.38,0,0,97.6,0,0,0,0,0,23.07,0,0,0,0,0,0,0,0,0,0,0,852.15,36.47,0,0,296.48,0,3.78,11.96,0,0,0,0,0,0,0,0,0
 10-12,0,17.22,0,86.39,0,0,42.4,0,0,0,0,0,18.07,0,0,0,0,0,0,0,0,0,0,0,740.25,40.64,0,0,295.89,0,3.07,4.37,6.12,61.61,5.61,0,0,0,0,0,0
 14-21,0,0,0,0.86,10.45,0.84,6.43,0,0,0,1.82,0,0,0,0,0,0,0,0,0,7.31,0,0,6.98,89.67,0.95,0.85,0.88,0,0,0.83,0,3.64,0.81,11.07,38.42,0,0,0.96,0,0
 24-34,0,0,0.75,0,10.18,0,20.26,0,0,0,2.02,0.82,0,0,0,1.53,0,0,0.68,0,15.1,0,0,12.92,240.26,0.7,5.74,1,0,0,7.7,0,0,0,3.51,65.57,0,0,3.43,0,0
 36-46,0,0,0,0,1.19,0,41.46,3.38,0.8,0,5.44,0.67,0,0,1.46,0,0,0,4.05,0.71,23,0,0,1.77,363.9,2.88,1.29,0,0,0,15.31,0,0,0.72,0,40.47,0,0,3.36,0,0
 48-58,0,0,0,0,1.85,0,108.39,0,0,5.27,17.13,0,0,1.61,4.99,0.65,0,0.41,0,0,48.31,0,0.75,8.52,420.18,3.84,3.21,2.66,0,0,8.16,0,0,0,0,96.47,0,0.85,5.13,0,5.32
 60-70,0,0,0,0,3.55,0,141.92,1.34,0.89,0,41.67,0,0,2.11,0,0,2.6,0,0,0,29.83,0,0,5.08,419.36,1.36,1.9,0.59,0,0,3.48,0,0,2.06,0,68.85,0,1.68,2.2,4.81,0
 72-82,0,0,0,0,5.38,1.67,175.1,0.5,1.37,6.15,19.78,0,0,2.58,2.39,0,0,0.79,0,0,49.02,1.09,0.7,3.96,366.95,0,1.43,1.42,0,0.72,1.61,0,0,0,0,34.33,2.08,1.64,2.76,0.7,8.48
 84-94,0,0,0.66,0,15.39,0,91.88,0,0.6,0,25.63,4.8,0,0,4.69,1.68,1.67,0,3.72,0,45.73,4.78,0,8.44,235.07,0,3.09,4.36,0,0,8.87,0,0,0.56,0,30.97,0,2.76,3.94,3.02,0
 96-106,0,0,1.82,0,5.69,1.52,86.28,0,0.59,0.92,30.68,1.76,0,0,1.61,0.91,1.36,0,11.11,0,34.67,4.37,2.1,1.39,233.91,0,2.57,0,0,0,9.56,0,0,0,0,11.42,1.44,0,3.42,1.37,0
108-118,0,0,0.85,0.74,9.62,8.44,73.08,0,3.23,2.92,24.06,4.11,0,1.42,1.53,0.63,0,1.5,0,0,37.09,0,0,3.37,212.82,1.06,2.56,1.28,0,0,2.94,0,0,1.21,0,3.29,0,0,6.93,0.77,0.51
120,0,0,0,0,19.14,1.22,87.59,0,0,0,24.78,0,0,1.61,9.27,0,0,0,0,0,86.01,0,0,0,344.25,0,5.04,1.74,0,0,4.48,0,0,0,0,4.07,0,0,0,0,0
