stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,100.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1909.36,0,0,0,0,0,0,0,0
  5-6,6.75,151.86,0,0,0,0,0,0,0,0,0,0,0,24.34,0,0,0,0,0,0,0,0,0,0,0,0,0,2322.69,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.98,0,0,0,13.74,0,0,0,0,0,54.32,0,0,0,0,0,0,0,0,82.89,0,0,0,15.83,482.34,0,0,0,0,0,0,0,0
 10-12,0,17.96,0,64.51,0,0,0,0,0,0,0,0,0,49.54,0,0,0,0,0,0,0,0,189.98,10.05,0,0,40.68,155.46,8.6,0,0,0,0,0,0,0
 14-21,3.24,0,0.82,2.18,72.84,9.62,0,1.09,0,0,0,0.91,14.75,19.02,0,0,90.25,0,0,4.08,23.53,0,26.89,0,1.08,15.07,0,1042.46,1.48,0,1.25,7.3,0,2.57,0,0
 24-34,0,0,0,0.63,22.89,1.61,0,5.09,0,0.85,0,0,2.75,1.73,0,0,149.57,0,0,5.07,40.14,4.24,67.12,0,9.13,22.18,0,972.5,2.15,0,1.29,5.05,0,16.89,0,0.93
 36-46,0,0,0.85,0,18.9,0,0,4.53,0,6.25,0,1.9,5.39,5.49,5.64,0,56.13,1,0,3.02,55.72,1.52,51.1,0.66,11.82,21.7,0,1099.52,0,0,0,12.88,0,0.94,0,1.45
 48-58,0,0,0,0,26.68,0.41,0,19.99,0,1.27,0,2.86,0.98,41.8,0,6.16,35.22,0.59,0,4.62,25.97,0.6,41.89,0,4.07,9.46,0,817.36,0,0,0,7,0,5.6,0,1.44
 60-70,0,0,0,0,70.49,0,0,26.78,0,3.96,0,2.65,0.63,20.37,0,0,46.27,0.64,6.22,0.69,29.69,0,25.16,0,5.67,8.01,0,825.97,0,0,0,1.92,3.73,0,0,0
 72-82,0,0,0,0,71.9,2.65,0,20.23,0,7.79,3.69,0,8.14,5.27,0,0,64.13,0,0,18.4,42.58,0,50.57,0,6.89,21.44,0,529.23,0,0,0,1.01,6.05,6.07,0,0
 84-94,0,0,0,0,153.29,0,0,2,0,20.22,0,1.7,13.37,5.67,0,0,75.39,3.51,0,1.97,52.79,0,24.49,0,19.44,33.18,0,1223.48,2.3,0,0,0,7.66,0.57,0,0
 96-106,0,0,0,0,230.92,0,12.81,40.71,0,33.28,1.02,5.4,21.24,0,2.33,0,134.93,0.6,0,22.83,82.97,0.61,54.47,0,19.96,24.45,0,1424.56,0,0.69,0,0.67,13.23,10.95,0,0
108-118,0,0,0,0,182.88,0,3.16,25.94,0.76,44.82,0,7.93,20.22,0,0,1.34,117.61,0.63,0,5.73,60.7,0.85,33.35,0,12.91,43.78,0,1053.42,0,0,0,0,18,0,0.85,1.15
120,0,0,0,0,123.26,0,0,15.2,0,33.96,0,0,7.71,0,5.02,2.32,70.2,0,0,17.01,27.52,7.42,22.06,0,34.54,57.04,0,829.96,1.86,0,0,0,8.76,0,0,0
