stage,axial,blastomeres,epidermis,eye,glial,hatching_gland,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,spinal_cord
  3-4,51.81,833.22,0,0,0,0,0,0,0,0,26.77,0,0,0
  5-6,36.67,283.87,0,0,0,0,0,8.03,0,0,0,0,0,0
  7-9,3.25,9.42,0,0,0,4.35,0,11.74,0,26.96,0,0,0,0
 10-12,0,0,0,3.73,0,0,0,78.5,9.32,9.72,0,3.78,0,0
 14-21,0,0,0,0,0,0,0.88,1.03,0,0,0,0,0.91,2.04
 24-34,0,0,0,0,0,0,0,1.07,0,0,0,0,0,1.54
 36-46,0,0,0,1.32,1.22,0,0,4.86,0,0,2.02,0,0,3.85
 48-58,0,0,0,1.71,0,0,0,8.14,0,0,0,0,0,0
 60-70,0,0,0,3.64,0.73,0,0,2.04,0,0,0,0,0,0
 72-82,0,0,0,2.79,0,0,0,0.55,0,0,0,0,0,0
 84-94,0,0,1.22,0,0,0,0,0,0,0,0,0,0,4.84
 96-106,0,0,0,0,0,0,0,3.86,0,0,0,0,0,0
108-118,0,0,0,3.23,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0
