stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,hatching_gland,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,189.19,2723.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.21,0,0,0,0,0,0
  5-6,104.14,2871.03,0,0,0,0,0,21.81,0,0,0,0,0,0,189.91,15.57,6.17,0,59.98,0,0,0,0,0,0
  7-9,41.76,45.85,27.72,0,54.81,0,0,46.06,0,0,0,0,0,0,724.76,33.25,176.82,0,0,0,0,0,0,0,0
 10-12,0,3.64,5.95,0,25.28,0,0,0,0,0,0,0,0,0,234.74,29.21,132.72,0,0,0,10.73,0,0,0,0
 14-21,0,0,0,4.35,0,0,0,2.25,0,0,1.59,1.92,0,0,18.44,1.97,0,0,2.2,7.01,0,0,5.82,7.89,0
 24-34,0,0,0,0,2.15,0.81,0,28.39,0,0,0,0,0,0,7.65,0,0,0,4.58,0,0,1.16,0.66,0,1.32
 36-46,0,0,0,0.79,0,0,0.84,12.69,0,0,0,0,0,0,15.23,0,0,0,0.69,0,1.03,0,0,0,0
 48-58,0,0,0,0,0,0,0,2.8,0,0.37,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0.63,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,3.97,0,0,0,0,0,0,0,0,0,0,0,2.09,0
 72-82,0,0,0,2.21,0,0,0,0,0,0,0,1.92,1.43,0,0,0,0,0,0.52,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0.6,1.68,0,0,0,0,0,0
 96-106,0,0,0,0,2.05,0,0,0,1.98,0,0,0.89,0.84,0,0,0,0,0,5.53,0,0,0,0,0,0
108-118,0,0,0,0,4.21,0,0,0,0,0,0,0.75,0,0,0,0,0,0,6.64,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.18,0,0,0,0,0,0
