stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,ionocyte,mesenchyme,mucous,muscle,neural,periderm,taste
 14-21,0,0,0,0,0,0,0,0,0,0,1.03,0,0
 60-70,6.16,0,0,0,0,0,0,0,0,0,0,1.16,0
 72-82,20.57,0,0,0,1.54,0,0,0,0,2.41,0,2.93,4.87
 84-94,79.6,0,0,0,0,0.75,1.28,0,0,0,1.31,6.62,1.28
 96-106,202.26,2.17,11.23,0.69,1.99,0,11.91,9.5,0,0,9.85,53.18,0.78
108-118,170.51,0,3.24,1.88,2.13,0.96,22.71,2.32,0,0,9.36,51.91,8.6
120,137.19,0,7.6,0,0,1.33,16.3,0,6.84,0,19.45,49.3,1.32
