stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,21.33,309.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.54,0,0,0,0,0,0,0,0,0,0,0
  5-6,37.17,461.76,0,0,0,0,0,0,0,0,0,0,12.54,0,0,0,0,0,0,0,0,0,0,29.83,0,0,0,0,0,18.98,0,0,0,0,0,0,0,0,0,0,0
  7-9,36.5,5.92,0,3.42,0,0,39.45,0,0,0,0,0,5.97,0,0,0,0,0,0,0,0,0,0,323.37,9.6,0,0,119.17,0,3.31,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.32,0,17.92,0,5.32,16.23,0,0,0,0,0,6.84,0,0,0,0,0,0,0,0,0,0,189.15,18.85,0,0,96.25,0,0,0,0,29.89,0,5.74,0,0,0,0,0,0
 14-21,0,0,1.05,0,11.3,1.98,3.13,0,0,0,5.76,2.28,0,0,0,0.81,0,0,0.94,5.23,0,0,4.28,83.17,8.3,1.79,0.89,4.58,0,6.2,0,4.86,1.08,0,8.08,21.31,0,0,3.76,0,1.1
 24-34,0,0,0,0,10.84,0.69,23.85,0,0,1.83,0,1.68,0,0,0,1.18,0,0,2.59,14.74,0,0,6.03,195.71,1.87,0.69,2.28,0,0,30,0,0,0,0,0,32.86,0,0,2.57,0,0
 36-46,0,0,0,0,3.16,0,23.74,4.74,0,0.57,5.21,0,0,1.05,0,0,0,0.6,0,25.07,0,0,2.78,175.57,5.01,4.02,0.78,0,0,20.85,0,0,0.6,0,0,52.98,0,0,3.72,0,1.33
 48-58,0,0,0,0,3.11,0,57.02,0,0,0.51,11.26,0.63,0.75,0,0,0,0.4,0,0.41,22.47,7.65,4.59,3.44,203.31,0.45,0.57,0.74,0,0,26.47,0,0,0,0,0,35,0,0,4.29,0,0
 60-70,0,0,0,0,2.44,0,135.65,1.48,0,1.34,6.76,0.63,0,0,0,0,5.31,0,2.79,39.68,0,0,3.06,203.97,2.72,0,3.68,0,0,8.17,0,0,0,0,0,33.98,0,0,5.43,0,3.13
 72-82,0,0,0.49,0,2.35,11.64,85.9,0,0,0,20.38,3.75,0,0.58,0.64,0,0,0,0,45.05,0,0,1.27,164.31,1.15,0,0,0,0,8.91,1.65,0,0.87,0,0,15.56,0,0.9,0.87,3.04,0.67
 84-94,0,0,0,0,3.07,0,46.91,1.16,0,0.58,10.1,10,0,1.02,0.85,0,0.62,0.69,1.74,16.01,2.2,1.4,0.7,72.53,0,2.5,0,0,0,24.44,0,0,0,0.55,0,14.04,0,0,0,3.53,5.75
 96-106,0,0,0,0,5.35,6.3,53.49,0,0.59,0.71,25.19,1.24,0,2.71,1.94,1.04,0,0,0,26.2,0,0,2.06,46.21,0,4.44,2.64,0,0,35.16,0,0,0,0,0,9.66,1.44,0,0,0,0
108-118,0,0,0,0,6.31,1.66,36.27,0.42,1.01,4.65,10.96,1.08,0,0.88,0,0,0.99,0,0,28.91,0,0.97,4.92,105.07,0.69,2.46,5.61,0,0.86,19.72,0,0,0,0,0,0,0,0,6.31,0,2.81
120,0,0,0,0,5.14,0,27.58,0,0,0,8.08,1.12,0,0,6.31,2.02,0,0,0,22.57,0,0,3.83,157.06,0,3.57,8.58,0,0,12.44,0,0,0,0,0,43.61,0,0,0,0,0
