stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,0,0,0,0,0,0,0
  5-6,19.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,649.96,0,0,3.75,0,0,0,0,0,0,0,0,0,0,353.06,0,0,45.45,0,0,0,0,0,0,0,0
 10-12,87.56,0,1193.47,0,0,0,0,0,0,0,0,0,0,0,0,0,803.86,28.36,0,120.71,0,0,925.71,0,0,0,0,0
 14-21,0,0,7.95,1.03,5.75,2.19,0,0,0,30.65,0,0,0,11.4,0,4.36,65.91,7.89,0,17.63,1.78,0.99,39.33,2.46,252.87,0,0,0
 24-34,0,0,1.03,1.92,0.62,1.52,0,0,0,3.71,0,0,0,0,0,1.4,75.47,0.9,1.01,0,0,0,0,0,504.44,0,0,2.11
 36-46,0,0,0,0.66,0,8.07,0,0,8.75,0,0,0,2.76,2.54,0,0,91.45,0,0,0,0,0,0.59,0,769.16,0,0,0
 48-58,0,0,0,0.76,0,24.26,0,0,30.78,0.64,0,0,0,3.45,0,0.81,92.75,0.39,0,0,0,0,0,0,724.2,0,1.27,0
 60-70,0,0,0,0,0,29.21,0,3.28,31.45,7.23,7.25,0,0,2.03,0,0,76.46,0,0,0,0,0,0,0,603.6,0,0,0
 72-82,0,6.45,0,0,0,3.24,0,0,11.35,10.98,0,0,0,2.24,0,1.76,38.01,0,0,0,0,0,0,0,396.61,0,0,7.32
 84-94,0,0,0,2.84,0,34.03,1.55,0,22.22,19.13,0,0,0,4.29,0,0,6.91,0,0,0,0,0,0,0,332.84,0.57,0,0
 96-106,0,0,0,3.46,0,6.34,0,0,13.4,14.95,0,0,0,1.26,1.24,0,14.12,0,0,0,0.6,0,0,0,176.12,0,0,0
108-118,0,0.83,0,0.87,0,13.15,0.52,0,3.57,14.36,0,1.35,0,0,0,0,13.82,0,0,0,0,0,0,0,97.33,0,0,0
120,0,0,0,0,0,0,0,0,8.18,15.43,0,0,0,0,0,0,60.3,0,0,0,0,0,0,0,215.07,0,0,0
