stage,axial,blastomeres,endoderm,epidermis,eye,ionocyte,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,12.63,431.51,0,0,0,0,0,0,0,0,22.71,0,0,0,0,0,0,0
  5-6,8.83,175.62,0,0,0,0,0,0,6.44,0,11.11,0,0,0,0,0,0,0
  7-9,7.47,0,8.95,0,14.24,0,0,0,76.95,37.38,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,13.78,0,0,0,92.87,58.8,4.52,0,0,16.42,0,0,0,0
 14-21,0,0,0,4.85,0,0,3.48,0.98,11.14,0,0,0,3.86,1.28,3.33,2.72,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.26,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.61,0,0,1.61,0,0,0,0,0,0
 72-82,0,0,0,0,0.93,0.57,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,0.61,0
108-118,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
