stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,neural,notochord,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,4.35,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0.9,0,0,1.13,0,0,0,0,12.04,0,0
 24-34,0,1.3,0,0.67,0,0,0,0,0,0,0,0,0,5.08,0,0,0,0,0,0.76,0,6.87,0,0,0,0.91,35.62,0,0
 36-46,0,0,0,0,0,1.71,0,0,0,0,0.59,0,1.24,0,2.87,0,0.67,0,0,0,0,3.13,0,0,0.74,0,16.95,0,0
 48-58,0,0,0,0,0,0.37,0,0,0,0.92,0,0.43,0,2.06,0.47,0,0,1.5,0,0,0,5.44,0,0.85,0,0,4.92,0,4.83
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,2.41,0,0,0,0,0,0,2.63,0,0.58,0,0.96,10.74,0,34.81
 72-82,3.85,0,0,0,0,0.81,0,0,0,0.89,5.55,0,0,1.52,0.78,0,0,1.12,0,0,0,1.69,0,0,0,0,34.48,1.13,41.32
 84-94,3.99,0,0,0,0,8.23,0,0,0,0,12.35,0,0,3.94,3.36,0,0,0.68,0,0.93,0,7.75,0,1.91,4.47,0,35.68,0,38.32
 96-106,5.45,0,2.36,0,1.05,5.55,0,1.22,0,3.84,31.4,0,1.77,5.42,2.46,3.63,1.78,0,1.91,0,2.92,11.8,0,10.53,6.51,0,58.9,1.57,78.76
108-118,9.62,0,5,0.47,1.62,9.6,0.91,0,1.23,0,39.66,0,1.04,3.82,1.87,0.77,1.66,8.7,2.46,0,1.13,21.81,0.43,7.37,4.9,0,29.78,0,76.48
120,11.51,0,0,0,1.78,22.28,0,0,0,11.98,116.48,0,0,16.03,4.82,0,3.28,0,5.58,0,10.85,8.63,0,23.89,10.27,0,40.15,0,12.55
