stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,119.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.42,144.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.82,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.46,0,0,0,0,0,0,0,0,13.53,0,0,0,7.95,0,0,7.58,0,0,0,0,0,0,0
 10-12,0,3.32,0,0,0,20.76,0,0,0,0,0,0,0,0,0,0,0,0,0,26.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,9.49,0,0,0,0,0,0,0,0,1.85,0,0,0,0,0
 24-34,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0,0,91.64,0,4.31,1.24,0,0,0.83,0,0,55.94,0,0,0,0,0
 36-46,0,0,0,0,0,1.19,0,0,2.41,0,0,0,0,0,0,0,2.11,0,0,353.24,0,9.79,0,0,0,0,0,3.78,98.42,0,0,0,0,0
 48-58,0,0,0,0,0,34.27,0,0,0.48,0,0,1.63,0,0,0,0,6.44,0.46,0,562.22,0,7.18,0,0,0,0.72,0,0,78.16,0,0,0.87,0,5.9
 60-70,0,0,0,2.17,0,69.93,0,0,4.31,1.72,0,0,0,0,0,0,7.21,0,6.72,1232.23,5.04,13.03,0,0,0,2.26,0,0,142,0,2,5.67,0,1.61
 72-82,0,0,0,5.36,0.65,242.77,0,0,11.56,0,0,0,0.63,0,0,0,22.96,0,1.89,1533.78,0,18.45,0,0,0,0,0,0,148.32,0,0.63,0.98,0,15.4
 84-94,0,0,0,6.19,0,160.73,0,0.66,7.46,0.71,0,1.57,1.62,1.32,0,0,12.56,0,0,1204.72,0,19.81,0,0,0,0.55,0,0,117.36,0,0,2.96,2.44,0
 96-106,0,0,0,2.79,6.31,230.37,0,0,33.82,0.56,0,0.66,0,0,0.92,4.34,11.49,0,0,1068.73,0,15.04,0,0,0,4.9,0,0,73.31,0,0,0.68,0,0.8
108-118,0,0,0,11.28,1.15,168.08,1.3,0.56,10.22,1.01,0,0,0,0,0,0,18.95,0,0,1221.12,0,3.29,0,0,0,0,0,0,74.38,0,0,0.99,0,0
120,0,0,0,13.92,3.08,226.53,0,1.42,55.55,12.99,0,2.27,4.81,0,0,0,19.86,0,4.71,2343.77,0,16.79,0,0,2.67,0,0,0,117.95,15.27,0,2.09,0,0
